Year,All Majors,Accounting and Actuarial Science,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
1,23547.139,33536.3262,21816.6463,32192.4955,23998.3099,26827.0813,16352.177,22846.6257,12876.9982,15130.4734,21271.2304,16352.177,23547.139,28401.0861,20960.2116,15807.1113,27900.1662,43605.8122,29452.4689,32192.4955,23343.8067,22907.4781,21802.9061,12876.9982,42923.3342,34884.6477,34338.6653,20960.2116,13744.4848,19283.3922,23438.1238,34660.5918,49791.0652,18864.1925,45786.1059,26827.0813,19388.1947,15262.0353,20725.8145,16362.477,34884.6477,13089.9816,23607.8369,21802.9061,42923.3342,29452.4689,17442.329,8285.10473,16954.7167,29344.2983,29433.9289,52326.9767,31440.3174,22893.0478,22637.031,17606.5728,15091.354,17442.329,31440.3174,17878.3795,32488.3218,27253.6352,44695.9539,23178.605,20960.2116,25089.1417,14280.9088,41920.4129,41920.4129,15667.021,12726.5667,14180.8134,31440.3174,21461.6671,22008.216,19634.9827,21802.9061,20943.9788,16352.177,16096.2529,20960.2116,10741.5198,6540.87183,33536.3262,16096.2529,14835.3166
2,30378.71876,41141.04968,29269.06513,47689.91097,34162.92631,25550.12658,22028.91042,30604.40654,23963.67357,25258.59089,25541.40071,20031.51874,29300.82955,45492.4055,25712.68848,19610.58576,32934.75353,61420.10491,32945.7327,44620.08224,26309.49847,27252.45162,28474.52548,20030.88993,55428.08617,42524.82807,43578.53358,28180.95702,17443.09669,25957.51046,28324.97285,41551.41491,57919.4292,25858.43703,54881.4213,35996.93891,23723.36327,25288.85211,25508.71774,21455.21455,41788.90649,18212.17919,29921.41849,28656.06167,51397.23552,30536.20279,24907.99019,11045.54791,24716.34491,30312.20031,32565.87808,54938.36417,34803.33011,31478.69638,27724.4374,25498.34353,21982.48788,24187.33443,34834.00925,24497.6537,33608.34613,37031.49202,53357.36588,36211.55667,27107.87435,29948.39556,20765.93803,46523.66602,46785.28375,21079.22251,21139.44085,23229.48415,32658.1152,30282.1321,26243.83119,24377.22698,27980.39716,26393.9312,21189.28287,25038.61268,26200.26135,13573.95361,8797.638089,35209.48012,21624.22764,23357.03041
3,35256.04816,46324.75629,35964.913,58035.22205,41435.13979,25690.5247,24935.96557,35508.16926,28754.09939,31850.6436,27541.26002,23165.46145,35996.21208,56771.65184,29990.78628,24334.54746,37227.08535,72337.58188,37672.67193,53875.248,30163.77342,29070.50567,33433.67874,26640.01043,60793.50429,48781.33733,51028.16408,33421.00845,21595.02113,30260.54666,35047.5359,47451.1982,62282.61922,30478.69545,66518.31873,44521.41723,27991.4653,30932.34061,29080.21691,25091.32499,47432.19729,22582.27137,33324.07274,32567.2049,56360.82448,32164.93517,30474.8943,13649.26313,28846.20208,31439.09013,35480.94417,58456.25036,38273.30949,38382.95142,31982.6766,29061.5799,27133.13788,29062.93227,37628.70211,29555.59701,36403.04336,42482.21792,59920.38178,43029.78387,32640.44177,34303.71043,25095.90455,50003.50894,49890.75618,26401.59413,27628.08555,29403.99958,40343.52275,36945.45068,31262.73952,28733.68597,32922.39016,32494.34882,28464.93293,29105.28902,30121.84674,16438.35806,10614.547,35558.81875,24992.22938,29142.75847
4,38668.06232,48770.11131,37782.96621,63839.25947,44114.7025,29016.7398,27117.63161,40957.82541,32183.13679,33267.83197,32495.83538,25652.58877,41749.41636,59982.33176,35073.09248,30225.04129,40863.19332,74540.19669,41306.48919,57019.27686,34342.43834,35075.00753,36720.62918,31467.52472,64012.75409,53132.76197,54962.8047,36123.92541,25816.94158,31357.10381,39239.57744,51282.6375,63502.6626,33016.64524,74528.74218,49119.61598,30898.52152,33805.57585,31941.77017,29627.60763,51611.08997,27248.26878,37693.81427,34606.40672,59854.19152,34884.34697,34631.15389,15829.55096,31169.85445,34581.33709,36208.16685,61715.23901,42098.73676,41244.50799,35253.11141,33066.79163,30237.98799,32233.26654,40665.30477,32626.9404,37856.5675,44228.90165,62827.43725,43038.9435,39078.9423,37240.64072,28554.52172,51791.97841,50642.035,30030.83327,31988.66861,33437.5335,44168.19155,39861.20585,35989.67798,32005.42789,35110.23606,34007.01976,35110.50196,30451.64567,33200.7013,19049.52535,11937.47396,36109.88123,28543.56391,33976.6538
5,41211.73191,50248.15142,41593.09105,65786.52635,45299.58627,31198.40493,27956.70071,42783.89157,35194.45141,34662.84172,32945.27828,28197.86068,43338.83329,61748.66053,38320.05091,33444.29101,43398.85168,77105.75647,43614.97114,59111.7196,36952.31945,36361.07538,39627.68302,30543.19192,65453.00353,56766.57915,58957.63337,38394.61647,29453.04731,32540.15262,43053.17196,53089.24413,65317.52119,34029.72021,82148.98822,52753.43335,33442.19718,35622.48381,32839.15465,31723.6288,53859.01841,30121.84412,40351.63376,36343.77108,63124.02181,36496.51003,36618.68025,17689.56485,34282.13704,35235.72637,39697.80703,63146.01416,46493.24458,48056.57429,37248.65384,34521.23325,32056.68492,35094.82087,44043.19314,37152.48776,37970.71728,44790.69955,65444.829,45185.10999,41308.95598,40698.75735,28763.46264,53507.12379,55621.9253,33250.0814,33805.27313,35775.73613,48806.19448,42906.06781,42523.68176,34448.29073,36935.1601,37336.2355,37815.515,31701.03835,35589.23857,21284.20924,13251.2442,37475.47978,28792.09207,36524.94039
6,43506.83879,52066.20604,43722.83857,70163.13552,47494.77697,34834.00979,30870.85326,46616.7685,38094.45642,35745.6613,34756.46319,30514.64666,47036.8201,60988.38514,41590.48838,35086.83368,45526.62201,78179.8794,45422.72381,61832.61671,38035.13903,38889.95887,42317.57535,31996.71947,71216.53009,58880.44345,58242.31773,40833.29887,30501.06076,33613.23432,45607.60508,55634.51971,67064.20414,35348.18866,77416.34273,54182.44635,35001.40703,38700.15743,33623.88354,35152.66359,56260.70525,32696.72138,43387.47915,37684.29671,67258.22443,41469.11643,39211.14077,19310.8852,38672.59749,37053.77777,41994.59884,63988.71112,50708.67516,49617.5522,39767.5494,37966.14003,33867.18174,36924.41759,47130.87827,40108.55891,37970.71627,46324.92361,68087.40229,45185.11207,44051.68501,42879.04626,31781.42849,54234.34653,58541.57137,34866.98126,35792.80295,37964.2691,48167.70787,44809.01775,50894.51121,35175.05302,38699.00602,36773.79585,35997.46043,32749.04804,38654.39028,23347.78696,14341.38923,37938.96391,32385.07531,39602.614
7,45295.30704,53827.91283,46716.61948,72683.45026,49784.02017,36091.61975,33408.34473,47839.44465,38656.89503,37363.51442,36153.80628,32261.33047,50730.7315,61060.50156,43770.77837,33204.17544,47344.6766,77765.73838,48947.52681,64430.09498,40116.12838,39046.21945,45074.15153,33851.13682,74856.64414,60944.79905,60602.41574,43209.64339,31409.51643,34261.57397,46178.56186,58198.56985,69922.56245,35348.18911,79234.3984,56324.17493,37181.69763,41062.13807,34157.88466,36623.54599,60076.21207,33220.72789,44223.90939,37891.36408,70052.91917,45392.07873,41014.6467,20768.9925,41737.74722,38800.45806,47801.37999,65441.62924,53242.73211,49617.55184,41022.65883,37413.05338,35412.35997,40417.78459,50627.82366,41920.41744,39432.94335,49204.87706,70965.41067,46992.8636,42851.64269,46256.93721,34132.34104,54518.71546,61073.31888,37237.32115,37618.18108,39233.42354,51788.79011,48807.98738,58880.89904,37173.95512,41007.63043,37821.80678,36545.88527,33191.16229,41391.43012,25150.80369,15210.75721,38460.9858,32755.32533,41319.54464
8,47122.5188,54541.60862,47914.21467,75172.28018,51506.18932,37182.45255,36349.28434,51475.5516,37056.10876,38864.48683,38848.39608,33526.45441,52058.21443,63619.28423,45068.95824,37750.91092,49161.58846,80636.02295,50508.50396,67776.39519,42049.31015,42025.72928,47617.82385,36753.26429,81052.22193,62761.70725,62760.56411,44304.6051,31232.029,34624.95596,49087.44912,62936.95661,73198.25457,36081.80017,76707.89735,56687.55717,39679.56546,42442.99135,34884.64598,41164.92421,62937.76733,34703.72526,46107.46996,38520.47913,69867.3667,48867.2591,43194.93886,21531.16594,43168.52751,43642.68095,46438.96645,71948.98958,53855.94511,47931.05536,42840.71075,37298.03895,38682.79492,39169.00321,52416.29457,42127.76344,42712.9953,53985.10804,74985.41562,48188.78482,47623.38889,46256.93502,38066.98217,54949.73715,61800.08519,38159.78063,40716.3884,40894.93816,52146.48154,51421.05887,59255.49888,39023.42411,44377.50129,40118.59738,36409.91183,33561.87103,43369.6045,26622.61359,15685.46109,37095.38924,34862.94137,43960.86731
9,49270.36981,57107.35104,48531.9641,77619.69802,51492.6606,39136.23348,38522.47728,50564.0554,41142.84005,40799.63661,42482.21267,34624.15296,49077.8328,62529.1386,45555.16774,40780.83902,51326.15361,83216.03372,52041.04513,68704.19629,43638.724,47569.99612,49469.3085,38933.55446,84231.05373,66013.2564,67473.08305,46354.69432,33254.51387,33015.33179,50178.28164,66558.18581,77318.44392,36209.99079,83612.152,57354.56754,42297.56401,43906.13615,35611.41319,41371.9974,65081.21504,35971.5562,48157.02173,39450.64205,71914.54742,48168.58793,46663.78791,22362.05757,44995.5097,46187.95897,48183.96453,75582.80279,53870.96596,55454.62513,44516.77103,37511.02564,41044.77918,39731.44373,53695.32046,43052.94164,43586.3385,56096.14963,77081.43419,49996.53706,50094.38563,51356.8707,39551.13506,54938.29146,66482.41252,40305.94608,41232.72086,42703.60446,54968.83502,53866.41742,59605.83242,41702.98585,46039.28902,42134.56409,39475.06426,34709.98592,43931.40115,28123.61401,16187.50508,38378.58943,33982.75967,44687.63105
10,51416.53713,60729.72083,50278.64739,78733.19838,54926.5259,41933.7916,40140.96735,51088.06065,46230.1847,41370.314,40849.6789,35964.68213,54168.38102,68330.88325,47372.07959,43382.47563,53144.20561,90881.78527,52161.50699,69949.4251,45427.19421,51481.24709,50587.18402,38889.17559,88082.43956,69506.62665,69763.0096,49076.91504,33713.52819,33821.43403,54498.03943,69062.04587,79464.61367,37101.07838,85048.50548,59556.99904,45568.0002,45723.04657,38494.71906,42404.97514,65985.20132,37486.75185,48157.02049,39999.06687,73198.25701,49514.66085,46876.24832,23447.62564,47374.21999,46522.26656,48194.95416,79943.99504,54245.79525,62608.5104,48010.14025,39287.8196,43069.90339,41062.14246,54433.98942,45795.03639,44304.40486,55975.95683,79654.15398,48309.82861,54446.03508,52028.78481,38988.69688,55665.056,69190.71854,41007.62396,41752.59613,44460.3304,62966.80994,55723.43104,59605.83111,42429.74767,48093.99355,43531.90988,40735.53623,35262.9168,44403.5683,29493.06162,16544.19596,37728.37877,33975.89323,46813.87853
