Year,All Majors,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
1,34584.34,32724.9643,41920.4129,29617.0938,28361.6371,32724.9643,38700.1591,37557.92,29344.2983,32179.5484,23607.8369,34884.6477,51352.5143,32192.4955,23983.1998,35632.3556,65449.9286,40360.7869,54496.5481,31440.3174,35452.0438,31440.3174,17816.1778,56687.5538,50304.4996,39269.9551,32192.4955,19634.9827,23056.2307,38155.0831,43060.7465,59957.9995,30392.3027,59736.601,39269.9551,28296.2836,30046.336,26179.9735,27270.8053,41920.4129,21802.9061,34884.6477,34338.6653,53654.1729,37728.3747,28343.7769,17442.329,32192.4955,34884.6477,35974.7997,58688.5863,39824.3938,34060.3387,31440.3174,26827.0813,31119.4209,33536.3262,37557.92,28361.6371,36484.8351,43633.2926,56687.5538,38630.9946,31440.3174,33012.324,27253.6352,47160.4658,49087.4516,26200.2542,19622.6124,26200.2542,38179.1233,32724.9643,29997.8848,27270.8053,33536.3262,31440.3174,32192.4955,26163.4935,30524.0706,19077.5467,16096.2529,38155.0831,31440.3174,27253.6352
2,37921.45,35526.4328,56147.89606,37299.71233,29772.84889,30939.21005,39799.23668,36510.5167,33278.85326,33085.56784,26056.57669,38535.40857,56463.89227,33865.94246,27880.29397,38731.36748,69032.30743,39056.97261,53788.38052,33433.6801,36762.50157,34363.1998,25754.10332,62174.15696,52376.00966,47709.44421,34885.68049,26806.53125,29088.1084,36885.04173,47781.13081,63605.54995,33287.09803,65148.76136,44107.63882,32602.47276,34895.42081,30348.06615,30399.81162,46881.36002,28350.188,36510.28555,34702.65667,57445.04537,39102.99461,32056.21015,19508.87315,33800.76494,34535.69328,36672.51726,57803.86861,41627.73561,40423.98809,34181.51208,32757.26657,33501.38337,34485.73499,39545.44698,32588.98966,35582.37414,47003.16467,59971.04361,43176.51763,34698.49434,35641.39411,30312.20014,49955.16112,51973.90089,31931.78217,28450.48024,30384.40506,40300.59316,37632.5882,34890.94844,30616.0247,34876.86064,33016.64515,32170.35879,29626.68737,33147.28682,21310.81134,17178.98846,37246.63047,29788.33066,31966.10353
3,40716.14667,39153.38234,65066.86911,43496.84103,30493.65954,30932.34185,40523.32148,37072.95391,35997.75278,35284.51493,28667.40173,42976.68597,61512.67574,35853.47273,30060.58372,41176.72429,73015.77055,41323.53111,56011.44907,35529.7021,36473.26766,37691.60143,32042.16602,64739.97289,54472.03108,54292.65536,37210.69833,31162.99024,32562.76331,40529.16271,51608.08378,65422.45658,35033.78367,78859.83864,49186.7425,35331.98864,37456.10328,32958.92118,33192.12871,50792.61422,31990.87522,38699.27726,35611.41523,59821.85822,40698.75891,35842.98129,21330.59042,35606.60432,35134.26601,38988.69674,60060.36792,43251.59043,46537.38061,36419.76838,36904.89249,34574.46507,36183.95841,41333.9197,34770.65447,37394.2357,49901.05898,62878.0988,46298.39081,38890.5364,38945.06549,33590.42017,52404.09457,53078.25577,36280.10798,34264.58977,34349.13871,46481.97512,41450.50283,39426.92448,33403.20947,38596.73799,35771.23613,34884.65261,31636.35647,35548.72443,23428.98773,18346.17028,36755.05807,29482.91454,35026.15868
4,43402.05333,40517.07029,66531.16847,45999.01815,31806.97425,34151.59335,44167.44381,38898.10539,35907.50516,39576.84915,30842.30177,48080.76323,63626.5435,38918.62276,34429.17845,44457.23258,77013.90769,43859.1876,58131.98351,38800.13717,38554.25644,40698.7592,35476.92874,67376.90839,57028.29414,57511.90573,39548.6297,31591.20684,33261.43572,42701.67155,54526.58658,66512.60165,35632.35667,82530.43276,52686.78672,37030.2111,39111.70021,34769.64878,36878.57115,54369.55825,34329.08109,42542.45626,37223.58102,63024.65371,41953.86854,38929.35747,22824.46455,38322.4187,36952.31922,40993.28797,63279.61993,46560.58703,48127.78208,39199.43408,39624.86981,36754.75358,38171.48575,44604.35776,36944.07542,39012.08693,50883.75181,65072.58354,46905.78591,43352.88019,40761.9748,37254.11483,54227.68467,53509.27767,38526.48077,36808.55707,37423.68029,51457.95274,43794.41518,40888.46579,35512.15086,40871.55632,36304.63088,38518.4696,32907.89167,38093.998,25232.00557,19141.94631,37744.2479,32247.51468,38712.60112
5,45681.09333,43845.90629,69795.03137,46811.13267,33424.82574,35582.37292,47439.93802,41542.54988,36307.2227,40675.00775,32916.53801,48071.60399,63604.40234,42072.69672,34533.98041,46740.5117,80319.18456,46981.05855,60911.65758,41283.28789,41834.76586,43545.79258,37145.22124,70368.8219,60324.44775,61149.29958,41526.80052,34036.56306,34151.11875,46169.40429,55574.59444,67603.43646,36623.54744,89620.84461,54934.71516,38847.11677,40928.60799,35684.09173,39673.26808,56483.42603,36233.0912,45059.78133,38157.44123,65699.14222,42680.6318,41001.99183,24391.73687,40705.23655,38259.39639,43896.99363,64027.30595,50912.01125,51410.34964,40999.61467,39823.95489,37254.34183,40130.63016,48102.288,40088.1074,39619.1275,51690.60234,67254.24765,48713.53645,48579.40705,47012.14121,37443.43267,55625.03007,57869.8601,42162.58569,37681.90048,40095.91684,55750.28495,46645.51781,45146.36878,38412.33508,41976.38535,39382.15973,39253.24547,34895.41803,40003.19632,27161.79575,20132.88428,39333.66483,33792.87482,40133.69845
6,48196.31667,46253.47198,72656.58886,48558.56378,38273.3036,39225.35063,51700.52346,42768.58461,36732.35229,39668.46533,35012.56251,50866.2973,62514.25756,45716.8184,37085.66473,49884.54385,81346.16142,50218.70903,64142.89077,43014.9387,45568.68548,46452.84933,39226.21122,75087.12711,63263.16851,60791.60452,44191.1084,35361.90086,36072.79555,47660.20587,59571.11614,69071.61703,37654.27639,80451.14497,57491.43623,40639.36826,44351.35176,37436.56507,44142.8641,58960.89844,39632.54722,45787.00465,39610.96812,69192.50808,46035.76935,42790.4626,25698.27362,44531.04911,40567.88024,44860.8655,64914.83925,54921.11544,52839.36265,44643.73635,40358.10536,38889.86177,41227.10563,51261.34944,43714.5972,39462.86077,51992.47914,69904.91915,50181.50589,50003.50808,50157.67813,41176.91646,57454.53081,62219.66366,43979.49282,39135.42736,41933.0376,56477.50581,49386.12257,52072.76572,39809.68123,41613.00508,40328.28168,39781.59412,35343.36305,42450.23606,29164.5408,20754.17414,41080.3505,37253.5876,42533.52917
7,50739.99333,50116.30614,73387.00528,51064.11146,41714.36048,40819.25256,53518.57483,44586.63749,38520.82314,45358.06071,36945.47315,52612.98094,62877.86428,48651.24301,38903.71832,51770.39311,81368.69475,53556.78828,67472.47267,44660.11322,45568.68513,50086.66634,41242.17561,77881.82139,65067.48552,64011.4625,46313.88809,38045.96816,38518.15601,50115.42,63193.4879,71615.28455,38304.48693,84293.85076,60778.95064,43071.69004,46254.29827,38327.65382,46421.9062,63067.67815,40203.22828,45776.70143,40542.4756,72826.32216,49947.01726,44354.11319,27095.62219,46627.06886,42149.28429,48505.67112,67418.70039,57789.60691,54236.71263,46056.11285,39784.29214,40352.54763,45234.83889,55422.06805,46371.4081,41487.9839,54912.12362,73561.3127,51999.55726,51002.87731,53507.12638,42754.95788,59574.31024,64695.69647,47613.31355,40883.79319,43387.48102,59680.3015,53556.71699,60306.60019,41627.73482,42824.88242,41983.87568,40673.32136,37241.80606,45348.82199,30955.92036,21408.26491,42453.14264,38244.77967,45806.02304
8,52812.83333,54394.73906,76641.87771,53228.67701,43730.32543,42965.41627,56063.84881,47100.53895,40474.60667,47539.72682,38507.34467,55640.10562,66891.09067,50360.0868,46943.99923,53532.09666,83895.19485,55442.63814,70965.83799,46840.40531,47750.34881,53053.74592,47012.14171,82517.10023,66312.71019,66174.08333,48235.24042,39264.30572,38348.14291,54874.66071,68433.54078,75234.6787,39059.98446,83112.10549,61392.3643,46352.88976,48071.20668,39932.10173,49260.07072,65775.98307,41933.03463,48781.33451,41590.48748,72826.32139,51830.57784,47870.87011,27828.33687,49172.34628,46012.38408,48445.11975,74572.59324,57493.86468,54178.8699,48501.47105,39735.83352,42649.33822,45722.73578,57179.22033,47139.94927,45814.95155,58703.00124,77180.70684,54860.90174,53548.15129,52507.36858,46381.44773,61450.20988,65422.4579,47145.65805,44103.32659,45149.19681,58904.72699,56295.00214,60306.59967,43915.47588,45968.91216,43269.67721,41920.41758,37099.5715,47095.50459,32136.71158,21693.74084,42689.7917,39080.17115,48803.46676
9,54932.60667,55632.43902,78788.04614,53580.84352,44077.9775,43093.12968,57392.65005,52465.95352,42930.00345,51972.98919,39904.68976,54242.75987,67086.17344,52163.11913,50287.12008,55324.49142,87975.02604,56107.45066,72782.74214,49175.51243,51803.81605,54870.65423,47239.63405,84952.68235,68963.38137,71205.16396,50399.80557,40846.02254,38529.83424,57282.91002,71295.09751,80579.14619,39960.31016,87729.06943,61626.76266,49865.86871,48141.82996,40792.20049,47915.5557,69033.60415,42887.29007,51690.21568,42317.25121,74825.41655,50666.03315,51711.88945,29060.66554,50276.70336,49646.20253,53159.46718,78029.18356,60405.46818,60435.26881,50319.52389,40646.96765,46028.79347,47487.81693,59624.57926,50047.00656,47259.77908,60944.79794,79554.21293,56607.58542,55617.41852,58325.13807,46637.38203,62411.82856,70432.89965,47967.16426,44602.59664,47318.2584,62904.44554,58450.77845,61021.98898,47366.77309,48512.58596,43624.12943,45831.66599,39002.53764,49241.67067,33534.06023,22170.86856,42689.79099,38534.75613,51428.36943
10,57112.89667,56359.66263,81317.29297,57856.71888,44927.57304,44615.18477,60673.7785,58518.12262,44340.88011,48429.56142,41036.93013,60425.54391,72160.69917,53424.31143,49716.16274,57425.76889,93891.21713,58467.54657,74343.87843,51174.62692,56010.88889,55915.09122,49056.54447,89181.52054,72556.7818,73037.63878,52484.09041,41788.9068,38180.49759,61252.63155,73945.77008,83438.70676,41255.19725,86393.26127,61990.37506,52725.63619,50306.395,44625.07415,47090.95612,70605.62084,44332.57534,52256.97999,43531.91235,74825.41757,50950.40215,52749.85597,30108.67383,52725.63619,53507.51221,54306.26592,83152.51253,61379.67962,66024.65645,54272.56062,42674.30987,47846.84846,50434.91576,60221.33884,52477.54165,49169.29501,61906.41769,80624.75892,56607.58589,59473.65204,58984.56063,45937.02604,63009.83884,74082.28169,49499.70393,44114.7021,50240.66901,70190.39595,62805.29654,61151.20029,49133.20999,52361.96516,44472.39682,47493.45848,39475.08092,50356.32859,35012.5638,22534.24958,41792.70025,38733.80824,55442.63985
