Year,All Majors,Accounting and Actuarial Science,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
1,39269.96,52400.5187,32724.9643,56592.5569,34584.3409,34793.9562,38179.1233,39824.3938,39245.2248,31614.2123,32704.3643,23607.8369,43633.2926,51186.0766,45064.4467,31440.3174,37728.3747,66498.8703,46112.4614,56723.2742,31634.1325,34884.6477,32192.4955,19634.9827,62880.6245,54507.2704,39269.9551,32724.9643,19634.9827,29433.9289,40360.7869,45786.1059,67589.012,32704.3643,66498.8703,47748.3692,32192.4955,34906.6279,27900.1662,27270.8053,43633.2926,23998.3099,40777.1644,36484.8351,57640.5716,37728.3747,40360.7869,17442.329,38179.1233,34884.6477,39704.0898,58688.5863,42923.3342,38776.3894,32192.4955,32192.4955,32704.3643,38630.9946,37557.92,31440.3174,37557.92,53654.1729,58867.8475,42923.3342,43633.2926,45064.4467,29452.4689,47215.6635,49256.4849,33536.3262,32724.9643,32813.3795,48208.4805,42923.3342,29997.8848,32704.3643,40360.7869,32704.3643,32192.4955,34338.6653,33536.3262,19077.5467,16096.2529,41451.629,32724.9643,53654.1729
2,41971.5,53064.33086,35853.47507,61641.03459,40701.86473,37193.34905,34723.22688,42345.34036,40136.95613,35633.50265,34521.272,26056.57669,46947.85751,54619.94311,47104.77187,34871.51942,40665.53707,70109.33278,48655.02939,56465.67565,33614.64394,36867.98001,35375.62699,26431.90882,66411.54932,57483.18285,47713.02107,35504.13484,26806.53125,33074.61171,43987.73727,50210.74027,69420.80306,35832.56031,72243.51391,48086.05949,36340.12223,36915.95948,33661.97218,30986.91096,49184.82691,29590.95314,39585.54812,37606.57576,60689.62774,39426.59634,41195.1261,19508.87315,39974.64801,35015.07102,40355.25394,61413.11152,44614.42738,47917.82693,35448.80788,36175.1136,34806.60813,38822.45605,39931.57819,34627.63071,36299.4504,52991.75296,62501.66801,45835.04443,46726.8899,43955.73678,32539.92406,50391.4437,52768.45787,38441.5676,34906.62889,35740.70748,51598.21018,46051.12225,35265.40112,36502.506,40479.73595,36185.86084,35079.60743,33975.89448,36978.88331,21310.81134,17178.98846,39293.21043,30892.53137,53520.65483
3,44977.76333,54811.01467,39617.30149,68977.10709,45245.34535,39568.8369,33915.77315,44342.19255,42426.03323,38540.55754,36992.26503,28667.40173,50288.15181,59360.82404,49550.12839,38699.19301,43112.57996,75889.98919,51799.0577,58647.33775,35820.72487,36767.87814,38618.26841,32406.2192,68752.1085,60775.75992,54535.23402,38413.02102,31707.75902,36345.04595,49441.89804,54947.29325,71344.70965,38012.84943,76277.48194,51843.1326,39917.06978,38362.16072,37088.29251,33689.32616,53240.50962,32770.29511,40658.62982,39395.04924,62929.13466,41749.12419,42831.3734,21330.59042,41913.74341,35906.15974,42840.71147,65484.94773,46669.13132,52459.20255,37643.43927,39767.09044,36131.94199,40489.88672,41947.5425,36309.13533,39415.40448,55093.02626,65786.52923,48481.9836,49624.78421,44654.40867,35186.43154,52833.42434,54949.74315,42982.94633,37233.00423,39347.34318,54787.95072,49912.4329,40537.75631,39801.52086,45195.22903,39257.87933,38322.24885,34756.46134,39608.61533,23428.98773,18346.17028,39293.20837,31430.43194,52753.43386
4,47912.18667,57067.25428,41634.80842,73453.62476,48424.54362,42946.72421,37492.71291,47249.24564,45440.54107,38540.55749,41113.97824,30842.30177,52895.3085,64182.99562,51745.31687,43423.15296,46431.40774,79904.58771,54598.66147,61111.99411,39220.18249,38553.25514,41953.86826,36040.03701,72671.71828,63626.54797,57754.48439,41080.00037,32135.97562,38155.08472,50609.41592,59640.79313,73525.00121,39475.07965,77782.45531,56567.09657,42069.90739,40632.84925,38179.12707,37110.81127,57142.84967,34943.94674,44302.75215,41347.84948,65962.83395,44870.9961,46475.49573,22824.46455,44735.1922,37480.01533,45536.23426,67989.41749,49828.19342,54309.36335,40323.98268,42791.10457,38770.37436,43883.15265,45422.72637,38305.05479,42814.8621,57084.2451,69072.30625,50228.66599,52434.49878,46573.08205,38813.34244,55336.6227,56028.43867,45526.61615,39987.60876,42005.16427,59098.65459,52712.10782,43615.43021,42305.38279,47149.00997,40116.34736,42269.75369,36573.36766,41798.29309,25232.00557,19141.94631,41624.42,34866.98051,55544.55229
5,50888.87,58885.30629,45370.39107,79583.92942,48329.80335,44043.1959,41119.66105,49871.93367,48636.40242,40508.86029,42567.50407,32916.53801,56039.34233,69962.55008,53829.53291,47817.91637,49362.97509,86124.66304,59069.58595,63796.35406,41730.71617,43560.97647,44955.66199,38512.46649,77035.04567,66334.85193,61402.03298,43383.12227,35072.90327,39034.80152,54972.74263,64710.39681,76359.69242,41206.73322,81087.62417,59690.08127,45076.17387,42850.87383,39426.22389,40073.93539,60401.61361,37870.61232,46051.12286,42802.29376,69612.67441,48066.85745,48220.49592,24391.73687,48578.64384,39226.69965,47759.97272,70493.28203,53392.18571,57154.46821,42132.87713,45084.53321,40224.81837,47032.75182,49052.96954,41774.54917,44342.0258,60661.19312,72342.74057,51511.26003,55884.39621,51387.62153,40638.94877,57482.78959,59675.98726,48866.90893,41234.70559,43978.3531,62721.02709,57075.43515,46964.88004,44943.7938,48561.38858,42578.98757,43893.60862,38762.35672,44097.41016,27161.79575,20132.88428,43860.17568,37030.72485,58439.90955
6,53307.47,61488.42522,48165.08404,80631.94494,50802.35383,47341.2308,45563.22413,52780.82017,50707.90905,42325.76828,43230.43012,35012.56251,59616.28508,73198.25618,57824.36207,50236.23298,52508.8979,86521.49622,62912.29031,66705.24126,43515.19689,49304.3706,48449.02956,41618.57815,81681.22281,69911.7973,61488.42447,45912.54946,37755.61161,40345.73444,55336.35538,70213.39481,79159.75106,42432.76795,80039.61895,61819.7938,47187.22289,47224.61904,41607.88721,43552.90301,64331.16992,41014.64548,46657.30428,44477.62485,72157.95097,50695.23144,51015.37625,25698.27362,52513.28619,42803.64392,48402.30237,72295.30645,57989.91515,63442.53248,46649.73923,46396.98799,42533.30222,48584.57184,52686.78916,45333.09631,43729.93259,64295.0133,74871.98625,52737.07941,60244.97975,54199.94063,45187.65335,60262.46589,64710.57293,49243.00369,42672.15396,45786.10577,68914.54514,60914.56619,53154.89783,47095.50572,47845.61616,44957.69586,45640.29293,40509.04239,47406.40608,29164.5408,20754.17414,46405.45185,39574.70343,61671.78851
7,55962.43667,63992.28786,51387.6241,81395.47824,52338.64989,51275.87136,46994.00607,54665.37067,52780.74807,44205.44509,47103.11407,36945.47315,67127.86868,72294.26937,62160.42932,52416.52585,54500.11728,87957.62099,69469.18688,70702.44398,45303.66898,50894.78459,51367.53344,43572.36195,84185.07911,72107.42545,65449.92988,48083.68244,40655.79833,42171.80248,61095.23201,74602.6532,82338.5842,43887.21029,83853.40153,64363.46728,50006.34072,49495.30735,42690.01917,44478.08249,69769.30136,42604.06398,47737.14539,45550.70543,76278.13898,52611.08205,52537.61147,27095.62219,54586.12521,44604.9919,52389.88509,75602.51119,61483.28472,67374.45608,48340.08047,48491.32521,45068.27411,52427.27557,57294.81621,48424.52287,46148.24699,67988.96319,78457.01098,54081.14129,67517.19481,58706.2066,46675.77519,62067.24423,68158.23192,52581.08293,44997.79959,47320.32738,73455.92079,66353.84939,60435.81074,49241.67072,51058.19278,47348.41654,45641.97664,42335.11043,49965.20376,30955.92036,21408.26491,50251.72902,40508.99395,61671.78999
8,58645.14333,67628.39523,55646.44006,82519.07524,54882.32648,54114.03588,49576.24224,58220.1725,58146.16508,46830.34847,49699.39222,38507.34467,74486.47285,74788.46578,66535.66201,54204.99968,57031.86662,90601.31773,74359.9028,74871.75891,47575.78315,51190.5979,54860.90174,49932.54046,87821.19173,74439.14574,68671.90372,50879.12381,42472.7068,43244.88333,62535.94209,79299.45819,85562.82307,45214.69322,86397.07292,65436.55052,52442.56193,52392.7498,43738.03053,46981.94022,74493.26153,44350.74659,50956.39403,46726.43203,77652.47467,53610.84107,55768.03266,27828.33687,57030.73695,47800.85128,53075.03304,79998.61931,62880.63277,70281.50655,51185.4024,48849.01605,46983.7017,53504.5812,59115.29867,48787.89948,49918.3546,70161.99033,81381.6954,56990.02808,70875.47718,59165.87933,50300.89354,63852.99894,70096.49596,53604.11592,48477.64285,49888.51721,79599.95696,70081.61513,62913.28744,51872.29689,53518.57215,48874.84826,47095.5031,42553.27898,52110.3811,32136.71158,21693.74084,50894.05484,40678.49424,62269.80361
9,61591.96,69446.44874,56422.01424,86885.01883,57647.72752,54727.25043,51098.48116,60025.63456,61779.98307,48379.95614,53829.53448,39904.68976,81005.20219,78838.7127,70510.71602,57740.43659,59822.98417,94235.13682,81091.20915,78127.0857,51206.02679,53234.59063,56956.92305,51424.62742,91314.55721,74853.28354,73019.89601,53428.34303,42317.25004,44851.07858,65067.47937,81744.81908,90306.93126,47253.5519,89970.06499,65810.69903,54919.58756,51748.90203,44092.02553,47954.45263,77416.34202,46097.42967,53850.25888,47463.49781,80907.80146,54252.90525,58494.17992,29060.66554,58780.00499,50600.45642,57061.92949,85468.81062,66723.33437,73797.40845,52343.18886,51382.84352,50617.52015,55588.86893,62407.87622,51236.83285,52779.90977,72296.17074,85761.05218,59171.68817,75622.16515,66070.12803,50741.50395,64709.42875,73732.60164,57493.86572,49874.99256,51421.05838,83236.06435,75162.39081,63459.84054,54835.61624,55380.75672,49601.613,49617.76055,44205.22029,53173.41437,33534.06023,22170.86856,52058.60146,40661.76725,63723.32775
10,63848.45667,72342.73534,59701.45505,92125.07102,61655.69848,55084.94354,54273.59767,63242.16519,66518.37273,50434.91839,52818.40405,41036.93013,86138.65376,88650.01785,74908.07025,58534.84101,62420.46214,100098.2755,84709.00285,81051.30902,53060.83795,56010.88889,59037.92073,54219.32228,94344.96803,77745.00138,74110.72339,55926.30579,45975.58228,44851.0808,67604.11994,86297.92062,94395.73369,48051.39218,89301.33435,66686.59602,58388.53377,53888.49202,48089.22746,49152.0506,79250.42523,47424.91309,54577.022,49549.47703,81334.35516,55551.70967,59517.21764,30108.67383,62072.58082,54245.72292,57118.19865,94153.2012,67943.37733,84321.74652,57783.61018,53223.1456,53478.86435,58544.04216,62909.33108,52690.35886,54219.32875,78477.55253,88721.01777,59318.59312,77059.66592,66926.56044,51258.12158,66162.95445,76478.45788,60355.41881,49592.30331,54667.06728,89740.16662,80158.12792,63832.08486,57229.14377,59298.94266,51443.03803,52763.68294,45380.94923,53887.1131,35012.5638,22534.24958,50379.22609,41480.18024,65297.8684
