Year,All Majors,Accounting and Actuarial Science,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
1,28296.28,44695.9539,23438.1238,41920.4129,25073.3415,27253.6352,16897.253,24037.0688,20494.734,16362.477,21816.6463,16352.177,33794.506,38179.1233,28973.2511,21802.9061,31440.3174,49087.4516,40360.7869,42923.3342,23607.8369,22907.4781,21816.6463,17169.3378,49056.5413,43633.2926,34338.6653,21816.6463,13744.4848,21461.6671,32192.4955,34660.5918,54541.6106,21816.6463,53654.1729,32192.4955,21461.6671,17878.3795,23056.2307,17169.3378,38155.0831,13089.9816,26200.2542,27270.8053,49256.4849,32704.3643,26200.2542,8285.10473,21816.6463,26200.2542,32192.4955,52400.5187,33536.3262,32704.3643,24201.2302,25945.4631,16362.477,21598.4717,31440.3174,18864.1925,35632.3556,34906.6279,49087.4516,27248.2689,36484.8351,32192.4955,16362.477,42542.4608,43605.8122,17442.329,13089.9816,20960.2116,41920.4129,28296.2836,22008.216,24144.3742,29868.3005,21802.9061,21816.6463,25753.9964,24104.2454,10741.5198,6540.87183,35865.7845,16352.177,41920.4129
2,34342.43667,48461.74236,30437.70976,55057.75412,35620.80189,30366.00789,23885.67586,32887.28338,28490.45788,27634.41199,26054.51369,20031.51874,40837.21005,48362.30828,37407.29417,26897.12129,35523.2153,63053.41028,43857.62514,49361.83299,26712.42963,27761.18854,29278.77919,21621.40828,59131.75028,49508.76035,43578.53358,29338.40042,17576.8196,29330.94727,35944.39677,43982.68146,62706.78998,29880.49995,60980.2017,39523.55556,27415.42495,27725.77019,28121.61577,22079.87367,44479.45184,19535.24696,31827.01543,32769.38029,54597.95605,32945.73387,33615.21274,11045.54791,29380.53757,29264.18561,35236.05,56393.65484,38005.85905,40674.50841,28924.63016,30258.06398,23619.67588,28476.72956,35439.30193,26104.84842,35155.13264,42532.1548,56710.22242,37925.80456,40807.22909,36821.64154,22507.80671,47045.23625,48492.84278,26526.87146,23535.15271,26972.73298,44153.16238,37058.2662,26243.83119,30117.53122,34132.3522,29711.24529,27168.86491,29678.40614,28879.63439,13573.95361,8797.638089,37028.60693,23515.99832,47051.74618
3,39303.02,51728.60442,36932.78121,64718.98147,42534.67151,33508.25145,27707.13827,38848.40036,33361.66537,34407.04162,28963.39959,23165.46145,47014.69989,56382.20889,44101.72365,32363.40631,39214.9987,73217.79595,47857.34339,55664.9275,30720.60387,29579.24258,34623.85516,28125.0843,65486.46248,54950.32707,51040.06821,34585.4896,21728.74404,34532.03856,42680.40369,50609.686,68146.0722,34963.26485,68548.2251,46961.81245,32253.13447,33394.52714,32246.1132,25835.66495,49645.81598,24256.46412,36368.39601,36769.09821,58165.12534,35453.06583,38474.18189,13649.26313,34627.62675,31439.09013,38812.99755,61456.48529,41371.51251,44445.2015,33256.67996,33972.34138,28750.42076,33504.02762,38776.40374,31344.89828,37812.95174,48338.93734,62527.9906,44563.20239,44634.41546,40064.28296,26353.7045,50670.12293,51842.29722,33802.74815,31526.80584,33075.98214,48360.22656,43988.65367,31427.06381,34795.78221,38711.52301,35718.40858,33489.0367,31995.1939,33353.09678,16438.35806,10614.547,37799.72116,28196.04123,48798.42934
4,42939.12667,54147.20504,38835.74693,68501.93256,44724.12209,38855.26907,31270.52404,43945.8166,35971.5469,35026.83437,33808.28587,25652.58877,50857.40137,60718.27544,48090.90889,37615.71485,43337.17544,76012.49052,51434.28516,58884.17787,34876.86346,35075.00753,38451.53092,33679.82281,69962.98015,59111.72162,54974.70883,37282.11188,26485.73838,35337.67341,44715.1122,56063.84692,70780.28826,37314.17437,73612.39134,51359.66371,35547.41589,36538.56069,34967.27374,30555.05065,53938.14963,28298.06884,40181.99255,39563.793,61787.49617,38910.37608,42098.27205,15829.55096,37739.91061,34581.33709,40993.28797,65078.85612,45204.38943,44582.07448,37117.78898,39554.21643,32885.64271,37454.71954,42170.60345,34046.71348,40720.00463,51261.34801,66298.5822,46380.11469,49175.7949,42244.57446,29982.94363,52742.96233,53568.81832,37964.91121,35855.99906,37445.03475,54177.99681,47675.08063,36154.00227,38124.18567,41402.4563,37615.91422,39557.46025,33859.07758,36961.78935,19049.52535,11937.47396,39616.62857,30850.39735,50252.87246
5,46016.50667,55280.47545,42412.69064,72476.99291,44839.24839,40523.07192,33626.47675,46324.52428,40054.80537,37200.03207,35088.43815,28197.86068,54154.35497,66911.10173,50952.4634,41606.04494,46254.52825,82071.42144,54597.26966,62086.97598,38032.1598,37578.86942,41460.34161,34037.0244,72869.14615,62749.11547,58969.53751,39727.47127,30121.84412,36260.13244,50304.50122,59640.79494,73526.14481,39029.11046,77732.58218,55202.3662,39253.24434,39210.79724,36133.12963,33106.04658,57445.04809,31192.86721,42363.65757,41371.23811,66862.2486,40657.0604,42432.57911,17689.56485,41482.51295,35361.90187,44212.53787,67952.39718,48781.33409,50304.50243,40189.8091,41570.179,35095.81043,40491.32114,45451.33897,38582.69028,42152.28497,53805.01932,70039.39981,48253.01538,53090.61458,46325.44262,30681.61627,54518.94259,58242.24868,42434.27899,39003.21614,40724.40205,58528.50736,51299.74095,43130.40242,40842.66278,43026.31123,40609.02682,41019.45775,36053.70436,40167.71985,21284.20924,13251.2442,41915.74564,31940.54404,52081.22286
6,48793.16333,57840.77188,44873.07713,75669.37744,47034.43909,44121.2384,39444.24793,49413.07476,43792.705,38597.38026,37426.64105,30514.64666,57672.24124,69784.64447,54598.87302,44134.1582,48990.53499,83491.4964,58596.98587,64747.19044,39031.70735,41359.68251,44563.20775,35009.30359,77433.05846,65656.17449,58957.63287,42578.98674,32289.8791,37179.95146,51352.5116,65443.4602,75706.43109,40482.63734,77318.44704,57382.65977,41551.54613,42963.44041,37049.59596,36146.44692,61021.99084,33985.77641,43624.1314,42825.6827,70631.15403,43600.45521,44909.68692,19310.8852,45382.03674,37898.70797,45893.55739,69057.42642,53871.88249,56020.93705,43171.54251,43879.55904,37237.28054,42799.80499,48723.83546,41362.35486,42515.665,57815.72425,72897.76032,48629.11014,56361.0509,48714.45315,34099.9229,56386.42918,62537.77803,43652.07125,40829.05454,42169.68818,63604.40736,54923.2586,51336.90759,42424.06567,44211.19781,42133.1856,42071.35492,37143.84928,42558.16001,23347.78696,14341.38923,44461.02117,35259.2456,54530.15933
7,51265.71667,60286.13063,48143.51568,78464.06711,50017.03964,43492.42874,41262.30153,51298.92403,46798.97132,40514.39124,40517.33306,32261.33047,61672.70886,69443.40159,57881.89968,46149.48623,50737.21481,85936.85577,65074.18414,68324.13401,40820.18094,41850.25216,46674.25863,36818.88464,80611.8916,67946.10358,61317.73088,44969.70742,32289.88195,39275.97627,54496.53863,69079.56897,78850.46256,41708.67366,80481.25515,59244.46032,44096.82287,44960.29164,37472.46681,37324.84261,66056.57829,35033.7866,45175.95315,43175.02228,74644.60644,47443.15935,47819.60059,20768.9925,48557.81669,39645.38825,50599.89945,72343.6599,56477.50495,60256.54874,43898.76171,45559.59721,38691.44506,45922.98021,51967.03452,43023.86853,44706.02855,61309.09382,75692.45,49394.43237,59854.42046,51996.33535,37015.67487,57430.86323,65444.83132,46041.08378,43772.07679,43381.56552,67225.63581,59616.75462,59699.95261,43986.37728,46715.0618,43515.27486,42763.35581,38008.67601,44569.28505,25150.80369,15210.75721,48105.82679,36531.88611,54234.34367
8,53082.62667,63147.68589,50289.67971,81642.90133,52878.59341,46261.39326,44488.2244,54160.26851,47955.76798,42704.52521,44371.6053,33526.45441,69603.93994,71908.56774,61800.08519,50924.03012,52555.26967,88078.03122,69569.85348,70974.8009,42207.94748,43281.02963,49435.962,42279.45621,84975.22104,69777.89047,63821.59195,47065.73,33017.10685,40857.37712,57015.69692,74525.09338,82104.87637,42660.71527,84415.89142,60366.27094,45514.72294,46722.00743,38034.90574,40224.56945,70134.98216,37214.07395,47749.03094,43888.72685,75024.01327,51354.40848,51680.9139,21531.16594,51367.53198,44134.16154,50223.80384,76624.01018,57192.89417,61840.20018,44946.77307,46659.5893,41721.3285,47613.31776,53773.64652,42796.37568,48350.8381,64100.25358,78509.67527,51098.47582,61877.00044,52712.11291,39989.16399,58559.91372,66690.05599,47032.74551,46542.17195,45199.61789,73345.6442,63624.72066,59699.95209,46030.77653,48413.43329,45695.56523,45406.00503,38358.01665,46254.06798,26622.61359,15685.46109,48713.76385,37857.22173,55143.37322
9,54821.05,64238.51736,50963.83718,85722.73253,53592.28921,46788.62133,44936.73037,54982.96748,49981.92373,45442.87045,47948.54882,34624.15296,74755.42346,76188.91989,64331.16525,55923.52937,54247.48552,91571.3967,75370.45753,73867.19889,43875.37871,48215.4274,51135.52312,45848.55401,87393.05651,71923.44744,67818.79575,49511.83204,34634.95928,40846.01106,58486.84646,76721.86337,86828.83911,43875.37441,86994.29456,60977.0968,48314.52917,47437.39522,38936.6905,41695.46608,72428.2189,38716.22181,50383.09207,44979.55794,77469.36931,51717.78719,53496.14157,22362.05757,53844.55761,47041.21604,52404.09587,80936.2581,59019.58505,67651.87677,46377.55443,49335.62617,45357.43656,49440.52734,54864.47904,44942.5416,50349.44036,65918.30928,82802.00632,52444.55029,67656.37963,57309.83727,41578.57784,58100.24468,69946.5234,50890.48302,47986.76882,47390.44197,76632.79395,68092.3009,60050.28563,48892.33154,50160.1166,47612.16804,47851.42721,40183.62596,47451.66471,28123.61401,16187.50508,50521.05888,37497.73904,54143.61624
10,57062.84667,66898.12663,52078.4951,90065.77349,56274.99444,50910.79868,47471.24635,56771.44039,53448.5322,47378.60368,49445.06269,35964.68213,82283.07053,85614.70787,67967.2771,57401.56874,56766.6451,97256.08555,77835.6237,76053.78441,45930.08324,51792.3693,52897.22918,47774.24693,90217.80886,74873.57175,70108.7223,52066.95421,36873.21143,41052.67501,62501.66726,81702.72015,91228.97354,44589.0793,86085.87429,62762.84863,51211.96616,49608.06791,41731.38617,43251.70184,73832.13231,39906.46662,51205.78617,46752.99581,77853.27079,52485.00349,53223.151,23447.62564,56749.58279,47612.17687,52489.35817,86754.02744,61021.98732,79148.14935,50013.66218,50425.7693,47523.3255,51984.19751,55984.60843,47487.8166,52235.29065,70110.35311,86644.71596,53211.76659,71421.69646,59160.1893,41824.2467,58872.71834,72597.19596,54526.58778,47613.31411,50191.80847,83919.88568,72830.89766,60422.52994,50690.84786,53626.72507,50534.57865,50555.60204,41399.7871,49258.72793,29493.06162,16544.19596,48448.60489,38043.15171,55472.422
