Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
5,167814,189406,277692,185835,192984,181937,131620,146103,149260,150536,159795,169529,298408,133454,89625,149838,149178,91782,151472,116387,139737,115525,103376,296430,615125,327609,364387,379202,420631,426013,327019,464690,420662,325021,96435,78415,99403,144453,116574,171285,263622,162247,171138,203223,190800,141077,140246,126710,246009,216600,247328,222053,112392,254524,162238,131819,247022,110351,190412,181078,182757,145301,387238,346069,91951,102536,97250,100988,147424,110734,177854,202951,279838,166333,231000,224990,349956,198338,191352,285761,227853,179441,164193,46926,74909,93313,131712
6,204975,218654,315438,215680,220003,211454,145012,181760,179851,179395,188068,195041,351405,165197,107850,184108,187758,107545,170610,135373,172640,140753,123625,342496,659652,378089,456000,444807,491599,482642,358555,551451,463525,366382,117386,92498,119306,166800,145304,206360,295057,185870,200218,238786,196581,172552,166322,144782,272455,242896,284736,253870,135405,297106,185836,158546,289649,128053,227930,210237,222734,177121,429043,404331,111705,123599,115673,121880,172423,136603,216475,239558,327786,199719,268808,260478,406561,241451,223903,327709,262305,207567,194661,56450,89310,110797,158485
7,235156,259201,362022,240979,249782,250382,171473,213832,214979,206140,221405,229994,408262,193416,127597,199744,216671,125546,186977,173357,194432,154874,140498,385416,708827,432320,520387,506084,562718,555333,401389,625218,530739,414671,133928,109751,141853,183354,167190,239497,350984,214083,241480,284533,223961,188426,183146,168152,305653,287310,313101,274285,158923,334747,216392,182236,334945,157744,259056,234874,256767,206711,492347,436628,128806,145829,133047,142538,193675,158043,251873,273104,376971,224143,309413,297195,451671,265092,260659,378734,298931,230405,215903,68229,103209,129247,185808
8,265221,289105,395022,270539,280641,285610,188466,241032,244897,231501,253741,262446,463704,215817,144020,230652,237353,139731,219726,199282,215883,174873,170360,437179,745023,466647,570446,560822,630303,611011,450610,692790,565745,455896,159470,129651,168558,195543,192853,266888,382235,246525,269834,330745,246716,223273,207436,187384,343622,323693,345391,308656,183167,375499,241878,198386,365078,180536,286067,259050,297271,226125,523066,475571,146283,161510,150825,165405,217412,181768,277073,316464,429124,255950,351813,334027,503181,301835,288121,417830,349135,258511,247145,78841,117812,149513,209813
9,296104,313426,433263,291364,311046,316098,220597,272122,269621,253650,291649,287754,513834,243947,163111,252653,259960,154782,256337,224991,230956,190245,189437,481765,781179,502721,647776,620639,686269,668073,499880,745471,603752,495012,180131,147490,190154,212348,216851,299416,421836,270623,293331,370737,264476,252631,237162,212166,370158,358431,391120,344770,210237,408891,265861,218754,399460,201739,327880,284848,328966,257120,558729,517050,164014,189596,171779,190503,238760,200346,301952,344106,476450,278662,388911,368969,538731,339340,327220,459289,370104,297806,275842,87663,133590,168233,228499
10,329448,338737,460357,319046,336521,344714,248073,296720,294352,279637,323278,312966,555050,270924,184964,281237,283324,175004,273844,242871,256421,202788,212193,531096,816265,527378,699426,679125,764504,728274,555656,799642,665580,526220,211198,166487,212148,227277,237620,326935,451630,298603,322200,401315,295323,280580,259383,226860,392851,389164,426391,384113,237475,441652,291833,240709,438380,221353,348655,325741,358295,279166,598104,543232,186614,208481,193980,207615,265766,211930,334160,378085,515486,314579,428786,406309,592634,365602,369151,508882,396669,321584,302157,95953,148216,187255,250611
11,358454,368468,487030,346282,368885,373558,271432,325430,321946,302024,351096,343270,592229,290480,202550,303145,300345,189945,297538,267262,275476,224389,233478,583991,865409,550087,763149,725340,818314,781942,591892,861336,730389,558955,234157,185979,233812,261438,262233,355070,476844,312202,353271,442000,321197,313287,285033,248608,428805,422492,459352,405104,256530,476165,322392,258455,472892,235681,371285,374671,391935,310438,622940,583037,203783,226314,213694,229973,285579,234997,373079,403627,553567,340540,468696,438605,633279,390936,400958,560787,428679,346392,330864,106890,162547,202717,268899
12,393669,388861,524139,363446,396494,404641,285193,359270,342805,327263,380024,371601,636237,316900,220932,333369,329728,200411,329601,285722,292214,247854,253712,620575,902076,578379,801220,767853,868869,845424,628629,917798,756988,589612,252937,203312,257211,277337,283705,383055,497284,334323,375280,478157,333146,337631,308887,270619,462617,454170,494539,433773,283428,499982,352087,284355,504108,261758,401138,407385,425907,337734,649519,612857,221542,245885,230701,250652,304492,255060,399335,429549,595432,369099,506020,469527,669323,430922,433898,595851,458271,368309,353341,115182,176566,219784,292782
13,426382,413017,551007,389151,422257,436376,304793,385244,365592,357293,401187,404731,670804,339114,239295,372886,349998,222714,363399,317670,325579,266100,264836,661009,963324,620702,850537,805877,924556,895765,683672,955830,800577,617026,269973,222777,280696,297881,305724,413180,522592,354977,407350,515243,346476,362642,345955,289043,489100,477872,536555,457865,308647,525948,373172,300794,531884,282127,425325,444387,457184,357991,672515,639903,239460,266037,250639,274971,320470,265392,426626,455217,633467,396000,542483,501609,717237,465836,469358,628443,488736,387781,379341,125910,188187,234828,313745
14,449934,445090,576630,411797,445787,461958,332149,410451,394204,384549,430562,423702,706059,362366,258844,391411,375946,235535,382618,337814,359605,290379,291348,699042,1001779,643212,923477,844567,964012,935725,717334,1000032,844983,652863,286244,245288,302844,310779,328528,448562,560339,377138,442333,549262,376072,379368,363283,310668,517879,527914,560985,489743,333342,548702,407270,321543,561884,311181,454629,467338,487406,383524,694029,673843,254229,286932,274222,296731,337066,285904,451837,485226,666557,422658,576541,530839,749617,493306,503442,663326,515754,415994,404168,135883,201181,250519,331712
