Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
5,511744,444359,475574,389736,511763,537760,490247,517383,507710,477497,529425,505405,637117,436398,428406,532486,470858,403993,485429,501927,462961,457475,446276,589470,909886,686583,769363,748883,808605,803161,630722,797858,815640,585261,449048,404617,464730,479124,441633,533027,648915,463058,548978,615019,575034,467151,438779,381328,510086,567073,590958,493372,471918,552943,516936,456979,541919,442156,517764,542200,544446,484658,705173,585210,364595,416617,419117,448591,420046,470142,513255,559142,704864,525718,581096,532038,688713,510512,553298,634269,551106,489960,488931,233298,292643,339366,400467
6,550850,484765,510785,428600,555418,573059,529748,557379,549008,511750,566653,533386,685166,463347,457320,569644,500931,447458,530944,540297,491222,497943,481858,634336,946950,730415,852886,789616,901970,869577,685797,872703,879421,633626,476737,431878,499296,508123,469786,570378,678011,496389,599047,655387,596536,500589,460269,407304,565451,607459,626607,526250,501452,583308,546425,481881,584787,467242,568499,584238,596987,519874,727914,622192,391882,445320,456902,480495,458011,517958,551102,591043,747543,569933,622064,572647,750461,550578,591476,684660,592851,513275,524315,248461,311495,364907,427565
7,578870,516124,550737,463529,589551,623346,548995,594552,582304,543994,592161,581358,729922,486894,481468,598217,529720,466490,563808,577701,535893,515461,510545,686964,1010550,770331,942246,849665,973765,928648,734664,931394,922608,678922,502953,468008,528414,526607,496373,604889,697701,516298,651741,697867,612268,521627,489851,425858,600239,639288,669649,544591,530467,613534,570150,510906,631656,500762,599601,599279,623695,548043,763731,652992,424299,473035,478391,506713,484759,540367,579338,625877,793320,606773,660546,602705,798457,586458,630748,722091,622877,552418,554021,262855,326177,386505,448148
8,614429,543854,583960,483138,631866,670400,594145,623320,614472,572067,616787,607900,776151,507875,506900,623178,553379,481575,604994,603103,548017,550529,545883,729284,1043223,817163,993692,912361,1022319,977954,773248,981682,999891,713019,527736,489573,553277,563761,521455,632266,737593,536451,670543,726543,631221,552711,507682,444564,673739,678574,697630,569208,559864,639764,592341,530458,664513,513426,621097,655065,657234,571919,777879,676300,444240,495888,510798,530221,512695,555591,610345,663148,837546,631544,695299,636930,839357,628985,659933,757125,650935,568413,580812,273300,341455,406561,464329
9,645870,571103,612467,509458,670586,710749,615696,651858,639368,597298,648068,648763,813376,532259,527072,637639,577844,505261,625759,625076,570130,567852,564992,774569,1095721,842140,1031680,962702,1089536,1031039,822177,1037002,1035199,741021,559634,510971,581831,579765,546690,657966,778264,566236,704754,751269,652396,582651,537971,463046,703972,709676,737447,597094,580891,662652,612492,550870,694054,540123,650617,677521,679481,592143,818097,705546,462287,510675,537855,561003,535753,574274,633657,689054,876766,655385,725280,669508,871329,662419,695554,785800,681041,586481,606511,280993,355523,422316,486951
10,671207,591128,641699,535379,697546,730158,635531,677822,664028,614456,676776,674326,852882,552076,544802,669328,599891,521705,640973,640287,606730,593671,586147,806388,1139929,870836,1074974,1009309,1133535,1075029,865204,1077949,1059380,765767,591086,535651,606166,608088,566789,689533,800906,598997,736682,783124,660198,606786,554792,482749,735568,743595,766317,631690,602677,688905,639377,566499,732191,564863,671703,685540,702349,611944,837104,728799,488273,532810,562472,580662,554061,584382,662800,716951,905942,680599,750502,690558,897363,690128,719669,821387,703610,609736,631938,290839,370088,435697,508501
11,689810,609702,673837,556947,719411,762576,647442,697689,682714,638001,701077,695430,884493,573968,562276,686994,629727,534809,652513,669136,626243,617265,605553,847676,1211547,925838,1120843,1048204,1173250,1126564,912567,1127815,1115741,798758,607216,556305,628011,615684,597514,718355,821850,626298,764239,819244,683629,628508,571921,501647,770006,772760,811052,662050,621333,708577,662757,579713,757276,576881,703120,721855,728237,634274,863246,766529,506042,547367,575223,600986,573121,590814,679451,745551,936702,698889,781179,708252,918965,723792,743165,848465,718791,635607,649677,299500,381839,450457,525281
12,712503,620974,692978,569739,742509,790820,667570,720819,700769,659415,724321,727833,916168,588853,584810,702833,650444,552432,677879,683471,644745,629596,618698,888812,1235067,958469,1185174,1095531,1236497,1161763,965490,1164593,1158419,826437,625441,573461,649324,628986,616079,744785,851935,639436,784514,838953,720744,642314,586644,518207,800270,809856,832395,687541,644275,729115,679398,593641,790694,593682,736195,747431,751044,650565,883326,794407,520150,561658,593757,621542,588623,624018,707004,774547,962014,727186,811943,732284,950239,749679,770172,877985,738863,665805,669791,309809,395157,464549,539845
13,735624,638378,714501,593054,758494,818829,684893,744474,719818,677214,744603,737522,946680,610255,603904,732173,674795,571033,697386,711418,664815,645838,633606,926955,1276779,972314,1246203,1141598,1275767,1201852,990592,1203948,1193682,850282,647072,586377,668019,641481,634330,769300,873708,659213,795415,862900,764440,662707,609208,534971,819191,837537,871114,713908,665082,749505,701451,607996,819237,617626,757903,754623,774481,671083,909959,809430,536372,587026,607102,642664,608621,655588,728099,789731,987149,740644,842087,756352,979820,781107,793996,905107,763098,692307,689346,318491,407155,480160,555450
14,761664,663386,738301,607468,788053,850182,702345,763852,744495,700026,764739,761294,974622,628680,623831,749299,685529,581824,712011,723111,682928,661656,655524,963647,1315874,994104,1283259,1178440,1318809,1249228,1022113,1243478,1208678,875413,668324,600963,686423,647706,652248,790555,886378,676393,820362,890435,788568,684507,628519,547054,837896,854392,904376,737301,680824,768500,716928,622868,847726,637493,785318,791246,792884,688620,941020,828735,559422,597936,622607,660302,632252,667248,744219,814850,1007573,762379,869169,780814,1008415,816278,817630,931114,783435,708566,706083,326217,417569,495284,567198
