Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
5,560528,477610,497441,449439,554875,558977,548641,539578,531494,491827,536093,509583,676504,500922,503139,616729,523742,460990,590900,612339,543446,558157,488383,647677,972574,757459,850523,810500,895464,900519,716957,877670,872958,616882,491287,441368,522805,514474,481668,666795,792344,570470,678850,701058,531448,503787,479367,409661,643566,730561,753931,536673,541076,570156,555064,517035,596314,477170,560364,649486,636878,534256,697244,605841,367082,424275,451305,455997,412651,515478,562402,583576,736560,643197,617664,556959,729188,539832,565618,671893,588137,486277,563339,233298,292643,339366,400467
6,603738,518937,533182,480024,604617,612210,579784,577195,567303,528425,579985,542036,731671,535301,537317,654962,564710,489248,620972,661446,591422,597026,534721,702069,1052336,810894,909506,883754,998222,977900,768503,941098,937404,666842,544554,478828,562488,546405,512211,718439,858686,623350,723788,746300,585961,542674,513147,428513,706344,788556,808330,569172,576917,606596,584408,548080,649877,525460,606891,678367,678459,565176,728574,638460,406982,468505,487794,482530,446476,532165,609953,625699,789087,684293,667488,595808,776951,589355,610014,720185,632018,524095,603814,248461,311495,364907,427565
7,646894,545108,565146,528051,643745,654620,618919,616715,604481,561864,609896,596554,785642,570237,566571,695508,594463,524181,649827,697072,622082,626946,573897,758736,1092763,862742,993690,937608,1042381,1037217,821560,1016114,1008932,695447,577691,514119,593210,565033,543594,763177,921159,651742,791121,786979,620980,571058,539250,443799,749205,832946,877026,613595,610635,634905,615775,580637,706554,559383,648382,725847,718891,592729,751926,674695,431847,496798,517533,508881,478360,574183,647853,668745,846891,724562,706918,634241,828179,627625,649068,763126,661810,554662,639017,262855,326177,386505,448148
8,675214,573273,596524,548733,680660,693812,664028,646619,632102,592330,635511,625443,832318,601610,592898,724480,629545,542666,677070,729189,653274,658333,596960,805366,1136890,891487,1060638,993912,1100693,1094170,867111,1074236,1072006,739702,609054,538749,629363,591765,574115,802071,966180,692397,829756,829197,661727,608583,573277,464196,789360,875965,932971,649568,645278,663217,653060,598750,752094,585523,683695,761749,757058,624634,782628,708150,459093,523189,545416,532910,501776,611949,678561,703101,886958,757434,739733,668068,864294,671574,682619,806553,688625,572601,670373,273300,341455,406561,464329
9,702851,595150,628331,589898,709861,726395,700837,679093,663368,620809,663943,648849,867139,628517,620932,751333,657023,565122,697636,755413,677453,685515,622128,854111,1199790,924653,1115746,1048634,1176352,1158759,934294,1122378,1098701,769346,635419,562280,660043,613738,600865,839273,1006707,724188,854301,866334,711278,634730,607430,479881,815539,914346,970324,680185,673107,691312,681880,622719,791971,625620,714150,786517,798427,648497,817429,742577,484712,545609,569797,562379,529183,633396,702004,738314,917544,791697,778272,692333,899802,712659,712200,841905,716620,591346,697507,280993,355523,422316,486951
10,735132,613565,666026,610303,736511,762851,735809,703510,685760,642727,692656,671522,902817,651418,649914,771292,680565,583135,721259,775340,705921,704136,646375,907845,1254109,955317,1159717,1094839,1233521,1220265,990161,1180402,1175401,804688,668569,583616,685192,634185,621163,867370,1056936,755270,897649,901544,735542,656462,633854,504532,854366,949773,1013575,715651,693593,715313,708226,645983,830888,650359,747529,830097,836762,671913,839174,772272,507878,566012,600482,588574,543553,658243,736924,770975,952486,817766,812994,716234,931870,743363,740332,873483,735548,625635,725194,290839,370088,435697,508501
11,765572,644553,693396,631622,764325,802851,760108,730362,711998,661893,713309,698880,944452,681358,672386,796867,701496,607437,746632,794104,734708,727520,672030,951218,1310579,1001444,1217511,1136823,1275236,1274154,1029823,1225442,1205534,833031,690784,610297,706824,648619,647496,896503,1085139,783438,934124,938904,757622,676284,653301,520506,881992,981420,1070143,749719,715730,735195,731306,664919,868614,675531,783006,879764,871849,691350,879136,796292,527488,586837,620058,610057,569238,686881,763269,793793,982961,846219,846540,744642,963680,776385,765251,907938,758483,648795,753744,299500,381839,450457,525281
12,788754,667933,719303,650157,784894,837522,782021,753564,734004,682315,736388,720706,985285,704590,692134,817203,725227,634269,769452,815842,765455,745506,690644,1002601,1382311,1047834,1278693,1174912,1336116,1311837,1071568,1268491,1254884,859185,725300,624794,731868,659754,665748,924177,1116591,814405,966624,967267,785100,698878,676641,537788,916344,1017269,1110393,778781,736484,760283,752261,682280,905730,698329,799434,904071,906032,711043,904607,822501,542902,613698,645581,629849,600492,708466,790344,821055,1012207,869923,876073,773300,984092,797764,793202,940325,779588,672823,781031,309809,395157,464549,539845
13,814820,693895,747442,667312,812726,872657,802460,772480,746558,707570,766499,743689,1020594,723559,711331,837358,741355,646331,793993,833492,783616,768617,715069,1034981,1427104,1080107,1325566,1213814,1371485,1358558,1127381,1315431,1302011,892338,752075,637046,755248,684826,686734,949323,1137970,833609,991132,994447,808447,719648,701022,553171,938473,1050182,1149398,801411,759819,778483,774278,698450,943204,716881,820852,935189,930735,726648,920272,852076,564898,637310,671295,649345,620025,731302,815306,850853,1035332,895095,906281,795863,1014238,826385,820071,970257,799860,694047,805352,318491,407155,480160,555450
14,843369,710889,772649,692434,839837,899545,834088,792453,771562,724937,787716,764751,1052162,743027,729364,857890,765065,664638,814920,845864,797691,789363,739310,1082853,1490846,1108613,1379810,1244721,1409196,1402084,1158999,1359442,1347844,922970,771735,652528,775142,700356,706786,978991,1177618,856068,1015279,1028483,823962,738685,730731,575175,957392,1077677,1178614,831157,781124,797789,797378,713685,977683,746651,841916,969998,958989,746940,949314,875975,587990,658197,689942,669520,647413,748779,846622,870088,1053158,917722,929715,817124,1057528,854413,844887,1000613,819790,715416,828269,326217,417569,495284,567198
