Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
5,200273,213644,263201,215248,205744,192728,142419,154551,162144,158180,172912,177627,322858,176840,120978,200188,198895,104757,193100,168416,191662,143606,134927,344386,629720,360242,463538,421882,458237,506994,341482,527904,399517,314937,114962,89306,126873,152927,133179,270373,412782,219022,264529,257720,178284,164694,186162,153657,281595,327516,341647,247950,145118,265896,182902,154642,276696,136659,207337,215905,236916,170915,382428,367587,98352,117303,113993,99312,157026,131423,216460,212231,294612,210061,257546,235552,355115,209676,196798,312926,237843,182974,201701,46926,74909,93313,131712
6,233738,252350,295681,243822,235849,229446,171349,190894,196838,182976,205423,202112,390415,214704,147268,238786,223687,131495,233339,210856,220186,171545,164819,398741,698227,403174,543510,494425,541249,584728,393149,608992,471848,366628,143139,113692,154807,175256,157914,318261,467841,254161,319204,310225,207257,191276,222981,178890,330452,393015,392461,289697,181032,309742,217489,186227,329056,167426,237822,254080,280665,203294,432604,404802,117416,137174,140024,122011,171850,162399,254380,253368,349540,257276,303867,273771,415270,247996,236128,367720,283589,214093,235399,56450,89310,110797,158485
7,269462,284715,358062,279491,269705,259369,194622,224026,234814,210176,228783,248517,448047,245042,175505,284647,253135,157180,274014,246651,255773,197756,200995,451863,746011,444781,613828,566511,630623,661009,450476,681716,552927,418828,167645,132442,186257,184008,185877,368849,530996,294319,365405,358327,229231,224829,261738,202900,377870,445728,470013,324414,210439,350321,250375,214283,372842,193621,261010,284159,323284,228803,471353,448649,135750,160027,162541,145174,203783,183440,290237,289004,403834,289250,348024,316959,462789,281908,270926,417192,319941,241798,275160,68229,103209,129247,185808
8,311513,316947,401624,317242,301421,301603,222309,256501,261052,235388,266732,261183,506002,279744,202922,318994,283582,178300,303622,276763,304176,224110,218484,510165,836202,503777,671071,625751,712581,736687,502135,754048,629280,462560,200264,150719,213608,206691,213624,425142,581623,327927,428219,404288,250032,259936,289990,224176,423008,502943,521379,364219,245954,389406,279865,243374,411706,216789,306643,312877,374101,260058,516669,497584,154340,183870,181443,170674,226125,199461,329174,332485,458985,329799,393597,357320,518016,316845,304187,471585,357449,267514,310636,78841,117812,149513,209813
9,344691,343154,435147,345333,338053,333683,253858,285670,287885,263365,302140,286104,558634,311637,229194,367446,312293,200890,341422,308982,332453,253232,246205,557121,885100,549850,730190,686256,782459,809170,558610,817620,695031,506196,227009,177557,241719,233528,235988,472739,641057,372993,472066,454614,291002,292370,319195,247542,472438,567592,589572,404267,275797,428514,316025,268925,455920,238886,351495,353915,416011,292535,557590,525924,176372,205740,200692,191702,246418,221564,364924,368834,503563,367020,442377,397861,569235,357497,343394,519445,394346,300742,347828,87663,133590,168233,228499
10,388947,374106,460320,382492,378530,367428,286486,313416,319845,291849,343545,315100,600693,345182,255271,403604,343045,221391,372330,349922,359743,284316,271150,622941,936932,589469,803061,742969,837584,877543,595976,884012,752464,546354,253872,200705,270657,261725,260975,516042,693890,401320,509278,504451,317337,322634,345414,269833,518347,623494,659681,439704,306641,462583,353691,294580,496758,273397,378793,384484,461327,328502,591469,570222,198785,223942,225308,211952,267107,251482,399791,403187,548611,406983,483313,432732,629297,392593,385522,572485,441035,332171,382034,95953,148216,187255,250611
11,425460,406783,493787,406996,414443,401341,314266,349008,346764,323328,366575,341908,643210,371094,284610,443328,372950,248758,419708,387970,401638,309585,294268,669926,1002937,622919,869522,795955,912461,940381,655741,939884,800993,578029,281249,220108,298239,283416,284417,561603,736797,434600,568836,547651,329337,347713,368326,294673,558360,671767,705908,477556,342178,494381,379577,326702,532320,299573,409855,435238,503630,353974,617042,608197,213930,242925,244768,235785,283840,271505,436700,433074,593469,443992,522225,466032,665830,427368,416475,617193,476383,352472,413058,106890,162547,202717,268899
12,452759,432275,527789,435080,447819,435516,348716,377937,376363,354857,392768,371260,687017,402517,311148,484086,402202,273263,457225,414588,438184,343731,322714,713298,1095461,667682,934794,843717,975531,999171,723144,992637,848276,612053,307740,244567,328183,300348,308067,608227,789617,465093,609554,599350,348594,374667,394583,311381,594163,715182,758861,513983,377174,521890,411765,356638,576692,328392,448770,499849,542395,382109,638307,646207,229784,264415,263703,255469,296565,289194,477204,463349,639329,474651,566331,500840,708766,464374,455924,649163,506791,374359,441383,115182,176566,219784,292782
13,490897,462808,551960,460289,474278,466887,378261,407021,410292,380122,418818,408220,729482,427044,342758,510630,432864,290903,488832,451850,464829,371815,345495,756406,1145887,714241,976719,894251,1025302,1045797,765737,1044366,904697,644665,335526,260748,357598,323997,338350,653389,824321,492880,650699,642165,374180,403520,418911,332252,633171,760221,805220,540325,411166,549247,446924,382985,622323,350698,486414,535952,584572,420391,666363,684492,250126,284303,279001,278950,320770,317390,504172,501925,670912,508808,600265,537044,748941,490744,492295,691797,526469,393551,476276,125910,188187,234828,313745
14,524861,487746,585458,481543,506862,498219,400033,437478,440910,406125,446631,423346,775442,459737,367501,550426,469859,312575,525375,494789,489299,402228,377472,808390,1176434,780580,1037105,944140,1100332,1092910,810755,1083019,946456,682176,367964,279245,389736,351322,368170,685500,870838,526383,693312,679700,396620,432858,443795,350492,666057,805458,848800,571054,436578,575071,473556,409897,658796,377717,520011,565325,624610,443457,701694,714056,268173,306004,301474,302438,350048,333570,539224,526429,702803,550302,636960,567893,790500,525314,523829,733035,562955,414226,505586,135883,201181,250519,331712
