year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Associate Degree,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,High School Degree or GED,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,"Some College, No Degree",Some High School,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
1,54004.809,35158.152,63381.266,40984.34,37288.949,26736.045,46107.383,35158.152,35861.301,32388.117,25569.566,41775.07,47121.844,41775.07,26109.418,52945.891,40984.34,63923.914,44490.449,57378.078,34464.434,53712.938,29831.16,36524.797,40984.34,30079.244,71722.602,63535.07,57181.563,32227.762,30738.256,21485.174,35020.836,52218.836,72447.102,36885.906,63706.98,48156.602,34913.41,31331.303,31331.303,26109.418,52945.891,31767.535,31767.535,41775.07,39419.746,61476.512,42819.445,46380.602,34913.41,33885.371,32227.762,37599.055,19060.521,32227.762,31961.957,41297.793,26856.469,60451.902,36553.184,35158.152,31331.303,42356.711,38673.316,36553.184,36866.5,37910.516,33355.91,58402.688,40984.34,31331.303,38673.316,49181.211,63525.73,42615.945,41775.07,44107.5,27153.795,31762.865,48341.645,39419.746,57440.719,43136.02,34092.754,31961.957,53269.93,31767.535,46996.953,32227.762,42356.711,37599.055,36553.184,36885.906,30738.256,20887.535,18442.953,39959.734,24020.664,29242.549,38641.938,50130.082,30738.256
2,53712.938,40984.34,68752.563,40821.832,35861.301,33516.871,46996.953,42615.945,40177.277,41550.547,26634.965,44474.547,53263.215,50130.082,36885.906,54307.59,42970.348,67624.164,48341.645,62307.008,37597.563,52945.891,32227.762,38627.742,41191.902,30079.244,75195.125,66599.555,53712.938,35665.391,34836.691,26634.965,35158.152,55400.727,75198.109,36756.25,70947.492,51886.973,37597.563,33038.234,33027.355,32507.617,53269.93,29649.699,41775.07,41775.07,39179.961,65652.906,44474.547,44474.547,33211.18,40104.066,43415.629,40984.34,20887.535,40984.34,36553.184,40984.34,31331.303,62858.516,41775.07,34092.754,41775.07,47651.301,44746.742,37597.563,40485.145,33420.055,40821.832,57378.078,42615.945,34376.281,41896.09,55351.965,66711.82,42615.945,51242.141,52218.836,36553.184,37062.125,52945.891,46996.953,53279.645,42356.711,33812.082,37599.055,50490.16,43863.824,46996.953,37597.563,50490.16,38641.938,37597.563,38354.348,37599.055,21931.912,19922.953,42008.949,29649.699,30079.244,37284.25,48341.645,33812.082
3,57440.719,43033.559,71722.602,43863.824,43033.559,38641.938,47942.938,43863.824,40485.145,43033.559,28590.781,47942.938,54307.59,52218.836,32826.453,56466.125,47651.301,72747.203,51564.418,63915.855,39709.418,58485.098,38121.043,41896.09,40984.34,36885.906,74124.25,69250.906,59299.398,40730.691,41297.793,27153.795,36532.664,61476.512,76845.641,38673.316,75198.109,55861.453,40911.305,38422.82,36885.906,37115.07,58596.922,36553.184,36553.184,45533.465,41775.07,63923.914,45004.008,52945.891,40984.34,47651.301,51230.426,42970.348,22373.371,42819.445,40984.34,43414.992,33420.055,69250.906,46107.383,34464.434,43033.559,57440.719,51564.418,40984.34,38354.348,35861.301,42970.348,63923.914,46996.953,38354.348,42615.945,56466.125,69826.82,53269.93,42819.445,56466.125,35861.301,36553.184,55861.453,44898.117,61417.234,42819.445,37599.055,40730.691,61476.512,36223.551,52218.836,40392.129,46996.953,40984.34,41775.07,39419.746,39419.746,24143.326,19873.787,42356.711,34092.754,31967.787,45118.867,53269.93,35861.301
4,61232.746,50130.082,74796.422,44746.742,46193.125,41086.012,52101.547,47651.301,42356.711,42970.348,31331.303,50828.055,58402.688,52218.836,36373.602,63923.914,48710.219,77301,57378.078,64550.34,42356.711,60158.488,44908.199,44746.742,42615.945,37288.949,81968.68,69826.82,63535.07,42356.711,51230.426,34376.281,37599.055,67624.164,81968.68,40485.145,80569.406,58596.922,42356.711,45082.777,36862.793,35861.301,62662.605,37062.125,46107.383,51230.426,42356.711,71722.602,43033.559,51174.461,43033.559,47333.625,49181.211,43863.824,23565.996,47651.301,42615.945,46107.383,37288.949,72006.414,45118.867,38354.348,42615.945,50828.055,51230.426,44177.137,42008.949,41775.07,46344.84,63923.914,49085.707,41775.07,42615.945,61476.512,73771.813,53269.93,51230.426,57378.078,35861.301,35861.301,59084.23,52255.035,62662.605,51564.418,40768.336,45118.867,69888.578,40984.34,56353.469,42615.945,53269.93,41879.508,43681.344,39179.961,42970.348,25782.209,21178.355,42008.949,32787.473,35861.301,45533.465,51886.973,34836.691
5,63923.914,52218.836,79418.836,51230.426,52255.035,46996.953,53269.93,50490.16,44746.742,49434.496,32227.762,52945.891,63923.914,58240.48,41775.07,63923.914,52218.836,79904.891,57378.078,70947.492,44775.395,58240.48,35450.539,47267.383,44058.168,37710.352,81968.68,71722.602,62501.121,42970.348,39959.734,37288.949,38673.316,68829.656,88772.023,41775.07,82595.586,66054.711,44474.547,46996.953,41775.07,40165.527,69826.82,37597.563,42615.945,49415.902,43614.906,73106.367,51564.418,51230.426,46107.383,46996.953,53269.93,45118.867,25143.406,48156.602,42970.348,50130.082,39640.148,72747.203,48156.602,41775.07,46996.953,53279.645,61476.512,47362.484,44044.609,43033.559,46996.953,70697.992,53269.93,44044.609,44474.547,64455.523,78328.258,51230.426,54304.254,61476.512,40574.5,41775.07,60358.316,48668.906,61476.512,48341.645,41775.07,47267.383,68752.563,46996.953,58596.922,46996.953,61476.512,41896.09,42356.711,41775.07,44908.199,26856.469,21307.973,44746.742,37062.125,40238.875,58240.48,56353.469,39037.586
6,66599.555,53712.938,88116.336,47131.992,51230.426,48341.645,58485.098,54004.809,42356.711,47942.938,34092.754,56353.469,65795.734,63535.07,46107.383,69250.906,55063.727,85638.891,66599.555,69826.82,47131.992,58009.973,43033.559,51230.426,45533.465,45082.777,88772.023,75198.109,65522.012,47942.938,51230.426,40238.875,38673.316,75198.109,86831.258,42615.945,91311.992,73106.367,47651.301,50828.055,42615.945,42615.945,71722.602,40984.34,51139.133,51564.418,45952.574,76272.367,50933.945,61476.512,50490.16,52945.891,56353.469,46996.953,26472.945,53712.938,48156.602,50234.52,37910.516,77301,51139.133,45118.867,50828.055,55063.727,63535.07,52218.836,48341.645,44058.168,51230.426,68829.656,55328.859,46996.953,50205.82,67678.297,81968.68,63535.07,53279.645,62662.605,45109.898,47651.301,63535.07,53269.93,62662.605,52255.035,46107.383,48341.645,76239.5,47131.992,63923.914,50490.16,56396.344,46996.953,48341.645,42615.945,46193.125,29713.648,21931.912,47651.301,40984.34,41896.09,59299.398,62662.605,34836.691
7,69250.906,60451.902,91311.992,47651.301,53279.645,49008.336,56122.645,48710.219,45812.141,45004.008,36524.797,58596.922,81968.68,63535.07,48341.645,68648.773,57440.719,88772.023,69973.242,73106.367,51174.461,63535.07,47804.516,53269.93,53269.93,46193.125,92214.766,79904.891,71975.336,52218.836,53712.938,42356.711,42356.711,81968.68,93993.906,44474.547,85940.695,68648.773,52945.891,52218.836,46193.125,47651.301,77301,46877.539,50130.082,54307.59,46877.539,79904.891,53712.938,62662.605,47942.938,52218.836,56353.469,53279.645,26856.469,52945.891,46592.383,54307.59,45279.441,80569.406,53712.938,47267.383,50828.055,59427.297,67884.484,53712.938,47651.301,47942.938,54004.809,74124.25,58485.098,49085.707,52945.891,73106.367,83550.141,66054.711,55400.727,70316.305,46107.383,51230.426,66599.555,58596.922,66599.555,55861.453,44474.547,49008.336,74577.898,53269.93,67678.297,51230.426,56396.344,47942.938,47942.938,45082.777,51230.426,30896.559,22025.49,44898.117,45321.684,42356.711,62476.152,60158.488,47942.938
8,71722.602,62307.008,95038.281,54307.59,57531.523,51027.289,63535.07,59427.297,47999.555,53712.938,37599.055,62307.008,81461.383,66711.82,53712.938,80569.406,62662.605,95302.602,69826.82,78328.258,52218.836,62476.152,47644.297,57378.078,59084.23,41775.07,93755.078,83101.094,73106.367,52218.836,52638.68,44386.012,45118.867,84713.422,96361.523,44908.199,95302.602,76845.641,53269.93,53279.645,47942.938,51139.133,78328.258,47651.301,51139.133,56122.645,46877.539,83550.141,56353.469,64455.523,52218.836,55328.859,57440.719,45533.465,28590.781,56396.344,49181.211,53712.938,40768.336,85940.695,60573.852,47942.938,52945.891,68829.656,66711.82,58596.922,50167.883,48449.07,59662.32,69250.906,64455.523,52009.961,51230.426,74351.078,89140.945,62662.605,60727.719,80569.406,49085.707,52945.891,65574.945,58240.48,80944.078,54307.59,48341.645,50130.082,92214.766,52945.891,71722.602,53263.215,70947.492,50130.082,49769.137,46877.539,52218.836,31961.957,23296.191,47267.383,40821.832,43415.629,74124.25,64455.523,47942.938
9,71539.805,65529.781,95288.594,64455.523,57287.453,53712.938,63923.914,58402.688,50130.082,56466.125,39959.734,63923.914,81461.383,74124.25,53712.938,79418.836,62662.605,100597.2,75198.109,84713.422,52945.891,66599.555,57531.523,58596.922,61618.227,48341.645,95302.602,87014.961,80477.75,52638.68,62501.121,46877.539,44474.547,92386.25,98016.672,46592.383,107425.88,78328.258,54304.254,53712.938,47942.938,49181.211,83550.141,49085.707,57440.719,63923.914,48563.52,84713.422,62662.605,62858.516,53175.809,59084.23,58240.48,52218.836,29713.648,60358.316,54307.59,63706.98,38641.938,92125.852,66840.109,48392.543,51230.426,72447.102,74577.898,57378.078,52638.68,51230.426,58240.48,76845.641,64751.355,51174.461,53269.93,76845.641,94243.688,61476.512,61476.512,79904.891,49085.707,54004.809,69250.906,48341.645,71722.602,57181.563,47942.938,52218.836,93993.906,52218.836,75198.109,53712.938,68829.656,52945.891,47942.938,47623.578,56353.469,34092.754,24020.664,52218.836,43341.633,47029.531,74124.25,61476.512,48019.367
10,74124.25,63706.98,98831.805,72006.414,58240.48,59084.23,68829.656,61476.512,51886.973,62662.605,40984.34,66599.555,81968.68,76845.641,58596.922,82505.758,65652.906,104437.67,86831.258,84713.422,53269.93,66599.555,54304.254,63535.07,61476.512,51230.426,105891.78,90008.016,83550.141,53263.215,55400.727,51230.426,43033.559,93993.906,102460.85,50205.82,96082.656,79904.891,58596.922,58485.098,47942.938,54304.254,87091.727,52218.836,56122.645,52218.836,51174.461,90008.016,56353.469,71017.617,66599.555,59427.297,66599.555,47651.301,30738.256,61476.512,52945.891,60158.488,47651.301,93993.906,55063.727,53269.93,54304.254,66599.555,86067.117,62662.605,52218.836,51564.418,57440.719,85231.891,71722.602,58402.688,53279.645,78839.492,95302.602,62569.379,61793.117,80477.75,52945.891,52218.836,71381.703,57181.563,78328.258,63535.07,52638.68,55328.859,83550.141,54335.328,76845.641,58402.688,70316.305,51230.426,53712.938,49769.137,57440.719,35861.301,24504.168,55400.727,47942.938,48341.645,74577.898,71722.602,46193.125
