year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Associate Degree,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,High School Degree or GED,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,"Some College, No Degree",Some High School,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
1,48668.906,31767.535,58596.922,35158.152,27531.863,19177.174,31767.535,28689.039,25615.213,21307.973,18442.953,31767.535,36885.906,28689.039,20492.17,51564.418,31961.957,52945.891,36524.797,52255.035,25615.213,37813.906,19320.969,25782.209,25615.213,21307.973,64751.355,53269.93,53712.938,25065.041,25569.566,15665.651,24504.168,41775.07,63535.07,30896.559,48286.652,46996.953,21723.035,24355.109,26856.469,16393.736,43863.824,15980.979,31767.535,35051.613,33628.93,56353.469,28302.609,32442.613,23296.191,30079.244,24590.605,30738.256,10246.085,22541.389,26856.469,37288.949,25569.566,51230.426,22454.1,20887.535,20242.572,33812.082,31967.787,31331.303,29004.986,21178.355,24590.605,51230.426,34414.828,19390.254,34092.754,41896.09,55400.727,25615.213,40238.875,30738.256,17754.404,26472.945,40984.34,28689.039,51230.426,28233.063,18647.875,22541.389,42970.348,31331.303,37288.949,24504.168,30738.256,31767.535,25065.041,26634.965,22559.434,12784.783,7684.564,31767.535,15883.768,21307.973,31961.957,36553.184,15665.651
2,52218.836,37599.055,64455.523,35861.301,31767.535,26634.965,41775.07,27930.727,36885.906,28198.172,21307.973,38730.203,46996.953,41550.547,26639.822,43446.07,39686.316,62662.605,43033.559,59662.32,31331.303,48156.602,27930.727,34092.754,32787.473,20492.17,69973.242,60358.316,53269.93,31331.303,30708.617,20492.17,33299.777,51230.426,69973.242,34376.281,64550.34,44058.168,31331.303,27531.863,29201.344,25065.041,51230.426,20242.572,37288.949,35261.965,37288.949,60573.852,38121.043,38354.348,31762.865,31331.303,34092.754,36553.184,13524.833,32826.453,33420.055,37288.949,30079.244,61476.512,34483.707,27571.545,32584.555,42356.711,40984.34,34376.281,36003.207,29649.699,30738.256,56353.469,39747.574,29242.549,39709.418,49415.902,63535.07,39747.574,44474.547,44474.547,23296.191,26634.965,50828.055,42819.445,52945.891,32227.762,31767.535,31331.303,47651.301,43033.559,41297.793,31961.957,43627.414,37062.125,36553.184,34092.754,31331.303,15883.768,10527.735,38121.043,21307.973,25065.041,34305.836,41297.793,22541.389
3,55328.859,40698.227,69673.383,41775.07,38121.043,33731.723,44746.742,40238.875,38935.125,38673.316,23438.77,42615.945,53269.93,46996.953,31767.535,53712.938,43033.559,69826.82,46996.953,62476.152,36223.551,55400.727,35861.301,38935.125,35404.371,27425.971,71381.703,64593.988,59084.23,37284.25,38641.938,25569.566,35158.152,57181.563,74124.25,37288.949,69826.82,52255.035,34944.289,34426.848,32227.762,29242.549,56353.469,31767.535,32227.762,41775.07,39747.574,60573.852,41297.793,48341.645,32227.762,42970.348,45082.777,40984.34,16113.881,38121.043,37288.949,41775.07,31767.535,64550.34,37288.949,31767.535,36223.551,51230.426,47942.938,38673.316,37288.949,31961.957,37062.125,58596.922,43415.629,34376.281,40768.336,52638.68,66840.109,47651.301,40821.832,52945.891,28074.273,32227.762,53279.645,38226.934,59427.297,39419.746,34836.691,34836.691,53279.645,33302.02,47942.938,35861.301,41775.07,38673.316,36524.797,36553.184,35450.539,18442.953,11648.096,41550.547,25414.027,29242.549,43415.629,49008.336,26856.469
4,57378.078,46193.125,74577.898,42970.348,41775.07,35450.539,47942.938,42615.945,38354.348,37075.375,26472.945,46107.383,57181.563,49415.902,32787.473,58402.688,45952.574,76239.5,55063.727,63923.914,38935.125,55328.859,37502.031,42356.711,40984.34,30738.256,78328.258,64550.34,61476.512,38935.125,46107.383,29713.648,35450.539,63535.07,80944.078,38935.125,76239.5,53269.93,37599.055,41775.07,33420.055,31767.535,61417.234,31331.303,42970.348,48156.602,40984.34,68829.656,41775.07,46996.953,37591.582,42008.949,45066.359,42615.945,18111.775,42615.945,38525.281,44474.547,34836.691,70901.078,42356.711,36168.68,39686.316,45533.465,48710.219,41358.961,40984.34,34805.984,41775.07,63525.73,46877.539,36223.551,41775.07,57531.523,71975.336,42970.348,46996.953,54307.59,30896.559,31767.535,57181.563,49085.707,61476.512,43863.824,38354.348,41775.07,64455.523,39179.961,52218.836,39419.746,46996.953,40574.5,41896.09,37288.949,40238.875,20625.768,13576.897,40821.832,29649.699,32227.762,46996.953,46193.125,28720.359
5,61476.512,49488.594,77346.633,49181.211,51230.426,39179.961,52218.836,42615.945,41775.07,45118.867,28590.781,49085.707,62662.605,53712.938,40821.832,56935.715,49181.211,78328.258,53279.645,68829.656,41297.793,53712.938,32227.762,42970.348,42356.711,35963.762,79418.836,67884.484,61476.512,41297.793,38354.348,31767.535,36553.184,65574.945,83550.141,39959.734,80477.75,64455.523,40730.691,43033.559,36344.309,35450.539,66054.711,32227.762,37288.949,47942.938,42356.711,69888.578,47942.938,50130.082,43341.633,42008.949,49345.57,42970.348,19843.158,43033.559,41550.547,46698.277,34836.691,69826.82,44000.961,36885.906,42970.348,52945.891,59427.297,45952.574,42316.332,38935.125,42970.348,66599.555,52218.836,37284.25,43545.863,59299.398,76272.367,48341.645,53269.93,57440.719,33885.371,40984.34,56466.125,46107.383,59299.398,40984.34,40284.703,42356.711,62307.008,42088.383,53712.938,42615.945,47942.938,41896.09,42356.711,40485.145,42356.711,22237.273,14915.58,42819.445,31762.865,37090.828,56122.645,52218.836,31957.928
6,63535.07,52218.836,88116.336,44474.547,43446.07,40238.875,54004.809,47942.938,39179.961,42615.945,30286.926,52218.836,62662.605,59299.398,42356.711,66599.555,52945.891,84713.422,63923.914,68829.656,42615.945,53279.645,42356.711,47267.383,41550.547,38957.586,84166.492,73106.367,64593.988,46107.383,45118.867,34092.754,36885.906,71017.617,84713.422,41550.547,85042.508,70316.305,42970.348,47942.938,39164.129,37288.949,68829.656,34151.117,51139.133,50073.734,42970.348,74124.25,47651.301,55861.453,42356.711,50205.82,46474.766,43033.559,20887.535,51139.133,42970.348,48475.637,32227.762,74577.898,47942.938,44689.164,44044.609,52945.891,62476.152,50073.734,46996.953,37599.055,46107.383,68752.563,52945.891,42356.711,44746.742,63535.07,79904.891,44908.199,52218.836,59427.297,37599.055,43033.559,61476.512,46107.383,61417.234,46996.953,42970.348,45118.867,70697.992,42970.348,59084.23,46107.383,51564.418,43863.824,45118.867,40984.34,42615.945,24707.951,15665.651,44570.473,31961.957,37597.563,55063.727,56466.125,26634.965
7,64455.523,54004.809,90558.883,47131.992,47651.301,46107.383,53712.938,44877.855,41775.07,38641.938,31767.535,53712.938,78328.258,59427.297,43937.184,65795.734,53712.938,84713.422,64455.523,71722.602,42970.348,56935.715,43415.629,50130.082,52417.609,44044.609,90558.883,75198.109,71975.336,48041.328,51174.461,36524.797,39747.574,76239.5,90558.883,42356.711,81968.68,65574.945,48054.141,44058.168,40177.277,35158.152,74124.25,40984.34,49769.137,52945.891,44044.609,77346.633,49085.707,56935.715,45118.867,48710.219,53279.645,47942.938,21485.174,48341.645,41775.07,48286.652,40485.145,78328.258,49181.211,43681.344,44058.168,58240.48,62662.605,51230.426,45118.867,41775.07,50130.082,69250.906,55400.727,45082.777,48341.645,64593.988,81968.68,56122.645,52255.035,69250.906,41297.793,51139.133,62662.605,53712.938,63923.914,48341.645,42970.348,45952.574,64550.34,52945.891,61476.512,46996.953,52945.891,47052.531,45533.465,40984.34,45118.867,26109.418,16328.732,44474.547,40821.832,39709.418,61476.512,54004.809,37599.055
8,68752.563,57440.719,95038.281,53712.938,53269.93,45595.082,60727.719,52218.836,45082.777,46557.918,33420.055,56466.125,76845.641,63535.07,52945.891,76242.086,58485.098,93993.906,64455.523,76845.641,46996.953,57378.078,40591.688,52945.891,47651.301,35861.301,90398.313,79418.836,72447.102,49181.211,52218.836,39686.316,42615.945,79904.891,95288.594,42970.348,92214.766,75198.109,47131.992,50616.27,41297.793,46996.953,74577.898,42356.711,51139.133,55063.727,43863.824,79904.891,47942.938,61476.512,44746.742,51230.426,51886.973,41297.793,22766.732,52945.891,47131.992,50130.082,38433.063,83792.18,56935.715,46722.148,48156.602,62662.605,63923.914,55861.453,46996.953,42615.945,52638.68,67678.297,61793.117,47267.383,51139.133,69250.906,87091.727,51230.426,55400.727,74577.898,41550.547,48341.645,61476.512,53269.93,76845.641,51230.426,46996.953,46824.609,83550.141,52945.891,67884.484,49181.211,61476.512,49399.02,47942.938,43033.559,48556.496,26856.469,17898.697,45082.777,37597.563,37288.949,73106.367,59529.473,37288.949
9,66599.555,57440.719,92214.766,63923.914,51564.418,47942.938,57531.523,54004.809,46193.125,51230.426,34944.289,58596.922,76708.695,67884.484,51564.418,75198.109,58596.922,99215.789,71722.602,81968.68,47942.938,60158.488,52416.434,53712.938,57531.523,41896.09,94263.984,84713.422,79418.836,49754.113,56353.469,35861.301,41775.07,87091.727,95302.602,42970.348,104437.67,76239.5,49953.031,51139.133,40027.094,44792.223,79418.836,40485.145,51640.27,57531.523,46996.953,81461.383,56353.469,56122.645,46996.953,52945.891,56935.715,43863.824,24355.109,53712.938,51671.832,61232.746,36553.184,89140.945,54307.59,44908.199,48341.645,61476.512,67884.484,53712.938,48668.906,46877.539,49541.035,75198.109,62662.605,46996.953,52255.035,70316.305,91311.992,55861.453,57440.719,72447.102,41775.07,47942.938,63535.07,45952.574,69673.383,53712.938,46877.539,48341.645,87727.648,44044.609,69673.383,50130.082,64593.988,51884.91,46592.383,43136.02,52218.836,29004.986,18442.953,47516.777,37910.516,42615.945,74124.25,55063.727,35861.301
10,69250.906,58596.922,96683.289,66604.039,46996.953,52945.891,64455.523,55063.727,50490.16,47651.301,36553.184,61476.512,74796.422,72006.414,53712.938,79418.836,62307.008,101436.24,82595.586,83101.094,48341.645,56122.645,50828.055,57440.719,53279.645,49607.895,105474.46,85940.695,81968.68,51230.426,54787.195,44452.828,40238.875,86067.117,101212.87,46996.953,88089.219,76845.641,52945.891,52218.836,40284.703,51671.832,83654.508,41896.09,49008.336,49415.902,47651.301,85940.695,51230.426,63535.07,58402.688,53279.645,64455.523,44908.199,25414.027,54335.328,49607.895,58240.48,41775.07,85231.891,45952.574,50490.16,49786.035,63381.266,82595.586,57440.719,49008.336,44177.137,52255.035,85042.508,65795.734,51139.133,51174.461,73771.813,93993.906,52945.891,58402.688,77346.633,44796.59,47942.938,63535.07,53269.93,78328.258,53712.938,51230.426,51230.426,76242.086,51564.418,70697.992,52945.891,63535.07,50130.082,53269.93,44904.016,53263.215,30738.256,19177.174,52945.891,37288.949,45492.621,73512.5,60573.852,38935.125
