Percentile,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Associate Degree,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,High School Degree or GED,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,"Some College, No Degree",Some High School,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
5,254731.1504,193943.3595,550677.8511,311036.5036,192992.056,126649.7481,257641.2727,132662.342,117079.3527,121725.3353,145546.5378,195365.2211,263690.6703,188723.9926,185878.5206,340681.8464,245430.532,325389.798,219125.2288,405460.8572,129460.3765,130030.0217,205944.5201,175481.1244,164005.3146,145530.8445,408684.4065,311312.2556,492858.0651,235263.9033,264774.877,124509.227,129471.8446,270554.5482,405364.8472,109827.0017,423782.4045,332994.4139,121642.2698,217586.6847,104855.0049,139836.5173,333937.2638,111027.525,357939.7729,210264.3112,149751.4322,360205.343,146419.1218,229119.2272,186335.1635,210117.6468,245981.9708,209389.434,84183.99854,164897.9148,195156.3572,259335.6851,148914.0262,324669.5103,182178.9543,145209.4572,162286.9426,223443.7548,212768.2225,175670.6033,132497.459,134255.6735,113601.2912,387450.8284,227648.1248,162404.8369,168359.5869,213329.0902,506494.9702,189433.7745,307590.1328,172678.7303,105995.2109,277417.1696,295695.7532,144896.3435,423912.1283,166989.0029,195445.1854,172489.2203,285257.9882,245864.8077,217049.9071,130745.1399,224880.2616,176071.6301,191208.9422,127128.621,159217.5314,106048.7129,55509.7215,142572.6213,93395.47826,131690.341,433196.5706,170560.8424,127654.3983
6,300938.4724,225419.7109,615158.5531,346039.8785,223866.7013,151938.7341,294654.8438,155132.7261,145286.0098,142157.985,176787.147,228130.7653,320648.4208,222682.4854,206833.7788,392325.5473,284620.0569,392424.8068,265033.1697,500425.2977,161594.1945,148362.7641,239154.4978,204782.6322,201907.4032,171331.7891,457342.0125,360081.6018,521522.8555,283251.109,287316.4903,146497.436,149624.6962,315749.7026,479809.5835,133290.7303,518720.8835,389001.7612,150087.338,250427.2914,125307.8767,164767.677,394617.8478,132410.6135,394795.5166,246301.339,180745.1053,415234.2571,175910.4251,278728.6412,211122.8458,254689.6398,294506.5732,251375.6654,101062.9357,198313.2161,223977.5564,295928.9196,184614.1335,381931.6638,210299.9128,171332.4439,180950.0524,256171.0471,237381.72,219934.0919,154444.7585,163062.5015,133352.7336,452938.408,270095.4214,193877.7587,201849.6903,251141.7346,577840.3562,216999.7955,360620.3237,201915.0784,130522.7073,317977.21,350907.783,164654.6583,503693.4473,194729.9536,222178.2799,201067.9014,318654.9628,278471.0765,250625.9481,160989.7046,264017.545,208998.8647,222588.9163,147200.799,185816.892,127955.5243,67926.71698,182586.0599,117339.0461,158598.9928,480081.1687,203580.8904,149038.9938
7,347416.2708,257185.4494,730334.4948,405438.3345,259696.4076,171598.2256,336049.5442,176184.2848,169688.5449,164962.7375,203690.6675,263095.3125,362903.3445,255290.5123,230436.248,441956.5155,326471.2415,461423.7175,304116.4049,553474.7346,189508.5837,169771.6297,261223.9735,235324.8866,233565.5463,197034.6755,517326.3197,420899.592,583966.5848,321462.8796,319431.743,165093.7161,168392.1666,363299.8274,544517.3247,149896.4284,587063.6011,442129.5466,181529.2033,289722.5487,146151.1003,187565.7264,455426.3337,156786.923,434095.1293,296686.3977,207945.7166,463687.7019,205446.8265,321448.0616,240849.5261,293031.3553,341573.2242,276234.9816,118558.7404,228282.8624,255100.7106,334209.8831,194810.1367,425909.5073,232374.9486,199932.524,212546.7539,296918.565,277734.5677,253117.5366,183251.436,191211.1057,155979.7972,503809.8142,307904.8213,226953.9181,227783.4185,288503.4495,655849.2349,232006.0888,401804.1045,231830.689,156168.9388,343039.0366,400433.7537,182413.8061,552395.5049,219467.469,246088.4143,230826.0079,352296.7495,325992.0156,295261.811,190334.9423,308487.9796,237634.7507,252198.8349,173966.6781,215226.8127,150927.5881,79426.23132,204329.0035,133589.4362,183609.9132,523223.5732,239482.3408,162818.1825
8,383928.905,298956.6095,800010.7723,445414.9282,296692.113,200748.7677,371483.6123,204988.1093,193401.8354,192893.2614,226226.1042,298375.2407,384541.6354,294401.7322,263386.0262,481600.5316,368909.5811,524495.6794,346081.137,604014.0466,210005.7247,195238.3823,283176.3099,271992.6204,258647.3419,223800.0316,568463.2357,469653.9497,621194.2634,364780.0656,341316.7669,194002.4086,188701.075,407362.5959,630216.5654,175129.9282,668441.1519,500725.1099,205652.5983,318906.8672,168215.4703,211010.3466,499243.0315,179489.4012,464982.2224,331263.0251,233599.1027,516159.2974,237183.2661,367120.2397,272290.4885,324849.7523,373874.9924,306955.1787,136115.4421,257096.9504,284457.5245,363582.8981,220531.4695,476940.5359,247600.2629,218345.8283,245568.5069,327870.7276,317338.5328,289593.7942,205972.124,222370.9575,178758.577,571332.0139,349532.3889,251324.6514,252156.9568,332928.864,722422.4785,270063.6047,449017.7007,263106.5753,175618.0341,381410.8934,447461.9512,203884.2284,598152.6072,242188.6714,267790.6769,265354.3904,425540.4844,359784.8782,337231.3867,217251.0735,347889.3883,259299.5392,277709.6813,204803.0875,247956.6141,172631.3245,90375.91888,222423.2988,152528.713,211039.8427,561286.5493,275120.4719,180908.2983
9,425477.2585,333917.5396,891010.8893,473562.4573,331976.6792,222353.8251,410287.9827,228399.5876,218715.0186,212698.4845,247040.2539,332462.3755,416965.7157,324430.241,302564.2097,509507.807,413381.3245,574536.0518,380506.6094,682078.4585,233237.1788,209782.7355,311028.5656,308526.167,284513.3985,246566.0195,618716.0851,522510.876,671130.593,402920.5157,388783.7142,220048.7256,209197.2654,446230.7891,694177.4878,197346.781,729573.4312,541956.6155,227771.6555,351965.478,190650.5554,237836.4344,549132.7783,206006.246,497382.2617,356295.9114,256692.5735,566849.5264,268033.897,400168.7756,293003.9805,372729.785,411836.946,336148.3774,154607.4769,286965.104,310819.8606,393997.6958,239499.9454,541844.9104,264076.8866,240788.9782,272050.3141,355101.2166,359783.0747,319544.573,232102.41,244352.4213,198421.1664,628553.0017,385412.4292,279060.8396,291507.1713,377251.3081,783424.7876,289501.149,484192.0928,294335.3999,203711.2792,419925.0287,498941.0024,232106.9452,649796.3682,263782.674,293426.5049,292638.3235,465286.7463,378479.7922,372356.0227,241435.7461,371145.2015,297636.6855,293477.9365,229020.4009,283691.9266,191345.0667,100928.19,251871.9814,172510.6751,231087.9857,602189.1045,308503.2642,205867.2228
10,470592.7385,373246.6213,933163.5156,500364.7529,360254.9229,244553.4978,435230.2004,253398.1158,233890.6907,227726.7327,270259.9673,367547.2517,445808.7458,359990.1543,329989.7961,556302.8051,444640.7583,642844.3176,418653.6228,735586.5396,258689.2334,224349.85,343061.876,342419.856,307916.5285,274308.6738,669109.6135,570603.3574,715340.1167,439191.7374,421954.2818,238075.4902,229127.4487,486309.3604,756418.1099,216967.6906,797423.1577,588369.7998,247347.8308,380032.1475,210015.5204,264193.6177,606156.9456,226345.2803,531898.1079,387457.3276,281329.6926,602621.1348,294386.3654,440470.8403,319951.853,406830.1033,447650.7336,384335.1167,169120.8828,319147.8328,345382.5991,424501.8163,264821.2869,595268.0566,282657.1057,274176.1751,303346.0841,381897.3669,404466.4619,354957.189,250320.3755,269328.0878,223142.3423,665776.551,429852.6401,307431.2739,308988.6516,432991.5012,854883.4448,311771.8722,516267.0005,329132.3552,227107.0729,445529.4615,537134.4482,260505.6625,684435.8809,292581.9514,322771.6234,320997.0798,522261.7178,403085.1644,408575.3618,266164.8052,389834.886,323876.2902,326945.9392,257080.8933,311932.7031,211080.353,113942.4589,272958.1281,188387.2154,249721.1934,643405.1016,348885.8862,229265.6273
11,506922.6577,398097.2844,979635.6895,526218.1763,392073.875,276235.6965,469010.4539,280080.7545,257877.1189,255929.0465,295007.7615,408218.886,486438.2975,398250.78,355134.1895,594577.8499,478342.5723,711336.8159,458134.6831,779509.0088,286451.7074,241361.8481,371842.9492,372805.7554,332052.5558,294790.8754,739729.9194,620279.5518,762063.0273,471665.6448,455527.4933,258684.8488,249585.7323,527077.6855,816401.1416,241185.4606,837273.355,624663.9243,270544.5939,413273.7937,231750.4836,292783.6212,646050.8574,249307.5139,564382.4841,429489.8181,311597.3357,647165.9722,316138.6559,474009.2727,338999.5387,441065.3274,474795.0815,419628.6008,183303.6434,352154.5178,373452.4937,469841.4213,288837.5159,627982.0981,308861.4606,305304.6209,332732.5684,400943.1938,452898.511,388379.1506,273787.0988,288957.2542,245309.0031,714532.7373,464090.2786,337974.1626,345334.4688,471572.9617,917259.2393,347895.8008,550018.1279,359475.7375,243177.3927,477477.5918,581052.8037,286282.1276,723642.9141,310550.8154,352225.2266,347528.4268,565996.0696,421437.9985,443174.6279,293552.0283,405625.5059,347566.5321,360129.6918,281809.7422,336709.3958,228035.5132,124498.3477,294695.6235,206116.6163,269764.1357,687398.9868,385288.7598,252693.2949
12,543614.2124,430906.5208,1022834.792,560978.8301,424813.0068,297527.3926,514674.8337,308613.9772,274672.55,274509.7428,315353.6606,436811.8406,532793.8932,428269.5381,373024.1196,633719.0691,516550.6416,767194.4663,497970.2139,836875.8457,315191.3427,255435.5778,394088.074,405557.467,367236.6823,314051.2531,793745.981,667716.355,811261.8965,504300.9209,487234.9957,270876.1346,268748.3522,566327.5955,889055.0981,264187.0287,869792.0625,667542.8447,295382.6946,439754.7488,249162.2507,318025.6625,677738.8591,263883.7703,604323.8154,464114.8232,332510.1404,693546.4976,347549.3018,501067.063,367952.595,467087.1279,504505.9309,454547.0039,198849.8936,386447.676,402890.9521,503444.8066,301256.908,654937.5986,353086.5172,325890.2936,364429.106,442753.7175,490574.2434,420648.8918,306864.7678,312423.6836,265385.1902,754799.2222,496416.8857,369956.3608,367827.802,510223.6426,967717.1899,373786.3701,582892.1704,383745.2205,257992.1135,508873.0066,623726.1128,321230.0455,748925.6489,332170.9668,377852.9063,375296.3853,594300.3108,447168.2173,474402.7793,320265.6628,436443.3928,373566.1498,387290.3689,302973.2883,362852.7661,245910.022,135199.2104,315608.8157,221840.2194,296062.6648,726207.9175,424609.4287,267335.9614
13,579558.9502,456728.6848,1081236.08,584599.6382,442407.6094,320292.9014,548362.5344,322672.6809,296910.4517,302578.7351,336697.3423,459251.019,561258.2784,457575.6411,390500.0527,677037.1169,547245.3765,831941.6006,534143.1924,895687.3291,346000.3798,278566.806,415102.4331,436700.8433,399422.1777,331746.8673,849294.5647,711117.4268,863398.2837,529733.4558,514369.9294,295191.8102,288353.9838,599665.4077,941754.2339,287062.4956,920332.3994,705788.8242,321839.1145,468293.2158,270356.9746,343768.059,716887.5432,283965.6431,622939.8962,485094.9663,355825.5208,736032.6802,373393.708,521720.2935,401702.3464,496035.4863,530489.4067,485120.4321,212405.7628,414791.5227,433823.3442,540660.8398,321860.4058,695212.9365,381121.1295,355878.7697,396769.8342,474311.7695,516773.7402,446470.3921,331303.5706,333685.4341,284020.4995,797884.9546,530944.7334,396662.4019,385897.3962,551634.2173,1028487.493,398317.4893,621817.0215,421622.7437,278748.8054,539055.3845,657647.7642,334764.5736,785147.8774,356911.0591,409280.3335,401314.0503,626873.2415,473667.6914,508683.4951,344525.437,453098.2446,406105.9387,435870.2173,324583.5874,387539.7202,263253.0598,147062.264,342597.3232,246649.3578,315376.4026,755837.4238,456575.2681,291206.5809
14,615891.1763,492740.4839,1147741.917,619239.4116,472735.9712,339852.5396,574067.8174,351906.2034,316761.7354,325214.5313,357451.2617,496924.0796,606087.6373,489184.666,405591.0723,699275.4971,577162.9155,881469.2744,565402.8335,947123.8584,371298.6803,294514.2301,441673.2573,469777.238,422225.8862,352425.1392,904766.1343,752616.5752,899871.9048,554809.2549,544810.9963,320590.9821,310852.799,633363.5356,1001769.284,306377.5824,986582.1724,741103.501,342010.7009,498902.6926,288502.0193,371669.7578,764855.6851,305434.2693,642433.095,512359.6045,376784.2249,780037.8262,397537.5117,552452.854,429376.1523,528967.1587,551726.731,510772.8657,225052.4114,442151.2249,457639.1082,571462.1445,341167.1697,745909.8037,397737.277,379379.8325,411192.4554,511483.6807,542393.0265,475877.9612,349794.009,357037.4417,309741.6123,840679.8892,567778.666,422740.5176,410564.7107,586674.4541,1086511.96,424331.4749,646168.5625,457037.1665,300838.74,565096.3372,693811.7349,352818.2506,814726.8579,375830.0608,435978.2861,427082.8533,649710.7202,493681.5986,542236.3105,374210.6299,483822.3843,428433.186,469733.2734,344557.3738,409629.9587,281769.4387,158525.3246,366029.2896,261808.9946,335624.2358,787363.7065,484677.1899,301384.6927
15,648830.4541,516116.6079,1193879.517,646615.5244,499262.8511,363964.9646,604833.7959,374414.8979,341816.4209,338155.0684,378955.1313,527604.9297,634256.3718,515680.0605,425921.2795,734480.9817,608441.8042,931622.5078,594778.1372,1004418.025,391499.2394,315324.3809,470453.4688,497936.3711,449819.0034,376874.8623,965570.6343,796320.7114,937837.0801,581482.3689,575892.7939,341856.1592,329918.5139,672653.9355,1048679.101,327292.595,1023047.784,775567.2803,367680.5198,530953.9016,308061.5564,397444.8588,804317.6372,324618.3101,663100.803,537311.4087,401291.8779,819560.4121,412729.4177,580576.439,452176.886,548462.1763,569364.5356,538132.7012,239661.7788,473221.2151,471717.2988,600887.5059,362358.0398,787848.8291,420646.4877,409860.7787,430389.0599,539400.7637,575586.8212,503858.0828,375890.7124,380216.4585,330975.8447,875457.502,597092.2803,448389.0293,439587.137,621556.1753,1135736.817,443950.105,671054.105,479908.2959,322614.9397,592005.407,729119.5435,371577.1908,852836.1509,402116.5867,460511.0762,454646.0354,682433.8809,514625.2439,569508.1343,397127.7783,520293.4753,460065.8887,498999.1775,364908.0391,433709.0779,297108.7937,167637.4249,387394.0298,272568.0448,352360.0842,820639.793,503919.8208,324508.6632
16,673366.7178,538032.4541,1217775.718,678549.7827,513985.7266,387492.9375,642359.291,392938.4219,367975.752,351783.5513,398864.2339,549527.1875,648163.7986,540714.2163,439957.2048,760795.9172,637706.6738,958811.606,622613.9492,1044120.02,416076.2627,327025.9036,494256.7085,523337.6716,472254.1592,388408.0454,1026611.924,830582.2524,969248.8164,606466.5815,603404.9446,360684.9854,343600.1436,711424.1245,1097475.148,350238.1853,1085625.502,807304.6064,394521.0581,561756.2612,323716.3035,415993.8057,839648.0508,342124.4612,698698.2605,571575.1909,426786.74,858695.9253,439963.2173,601793.6875,472600.4866,581416.8193,590826.2578,555908.0537,253553.688,503188.6704,494083.2095,624507.1436,382344.771,825883.2012,441443.707,424033.3564,460812.558,565868.0693,596101.205,528589.8728,400862.9661,400954.8923,357057.9705,919954.7061,625799.043,472502.0447,473995.2451,653674.7612,1183169.474,470373.814,703539.9395,517693.8696,336618.6079,614354.5801,763062.2944,405982.2244,887442.6787,428844.4954,478422.1096,477057.0596,720474.3945,542435.1548,601594.3691,421051.6392,550091.7021,490878.9919,519505.4509,382600.4238,455980.3403,314030.708,175620.6228,416839.6243,292607.1237,377411.5964,857215.915,530427.418,340338.5262
17,701832.3511,570139.6809,1254087.184,703653.439,530655.2085,415659.1558,678619.3408,417459.0679,395923.9001,385966.4336,414520.7285,577308.2764,685111.2248,569373.002,460394.0684,799029.6865,663297.5464,1005189.608,648370.9385,1086599.695,437355.255,342267.0276,514090.876,553128.9199,504776.1726,407488.3635,1086951.769,873359.0527,998560.1113,628985.3374,623126.8152,381428.1265,354567.2612,748230.7793,1147618.734,373534.7742,1148038.754,840220.1709,415530.8923,584194.8799,340281.9421,436082.8375,866600.6772,356645.7493,727214.4226,587464.3667,452018.8972,897117.3604,457566.8342,625089.5449,494653.0833,603228.623,609144.625,582995.375,266738.3049,523966.9912,516979.5542,650565.5796,408345.1353,873461.2959,486841.3311,442025.4728,485074.1302,591228.1445,621733.1301,554182.2397,416787.5186,424245.4829,377368.4673,953335.46,656808.2153,503712.7256,503197.1584,688128.2534,1236507.344,496976.2783,731819.416,540039.7759,355120.165,635420.8672,792858.5903,442389.0525,911498.7715,445443.4753,499043.4204,501206.4043,749620.8838,561295.1211,627297.373,442240.9282,582760.4502,524245.2544,536622.6765,404094.1968,480635.1079,331626.3071,183697.3553,433738.8899,313717.1726,397936.6035,897819.7832,556324.1602,348198.0887
18,728921.25,593632.7144,1311038.442,727740.3521,553666.7749,436442.5288,706494.4775,441962.7451,428871.0771,405875.6221,429920.5957,613216.2476,708681.4572,592568.834,487959.5293,821148.9863,683959.8789,1048855.75,675097.0479,1125840.336,457188.6956,354819.9968,538498.8911,578395.4424,532540.0811,441126.2839,1132213.336,907128.0801,1022391.615,652519.0903,637041.0896,406921.1265,374826.0027,778901.3652,1185767.455,393599.6958,1199470.745,870455.1514,441566.8762,612415.2358,362493.0564,458169.3584,896289.0742,373551.7639,742529.8677,617910.4355,469870.5889,929302.916,474590.8826,646583.1885,511241.4866,631294.0229,632639.5171,598444.5229,277982.7898,544385.7124,538687.3301,664132.373,431435.9004,908992.3213,521552.9722,462131.9667,506003.1079,619913.5508,649235.6682,577189.6987,441816.8855,446585.7373,404118.4817,985078.1685,686641.6206,525256.6919,535996.0452,728770.7212,1281470.959,513393.0371,759548.3936,562645.5527,374775.9126,654832.0352,825485.6152,452784.5188,933886.6621,461301.8582,522113.0596,534607.7983,789761.9868,577431.4326,652165.4653,463251.7002,616987.9985,547481.3528,566832.9673,425338.0508,500523.5024,349646.5264,194566.3242,460158.2168,330792.9595,418131.1609,936053.6689,574933.1284,365477.1371
19,758214.1992,621466.4399,1370543.488,751147.1641,571949.9136,453964.5449,733160.2129,473151.2036,449429.2773,436586.0054,449274.3525,637719.1084,739187.9029,619611.3242,510971.4609,861095.4004,708336.4102,1084167.575,698504.7256,1166612.067,477515.7231,367969.4836,563205.8584,604303.5068,562536.418,458176.1396,1178020.083,946188.4248,1078451.363,672061.3281,659954.7507,420668.5466,388108.0562,808719.7725,1224710.887,416135.8115,1234271.456,896551.7393,460375.5464,643340.4043,382050.6455,480100.5629,921976.707,395972.9053,765693.459,642419.1553,490737.5725,964749.8408,501895.4036,668249.8638,528948.4956,655533.23,660214.9072,620744.415,292410.8613,565201.6729,556678.7827,688916.8149,445706.343,972008.498,544504.9409,488486.0046,521906.3623,649209.1182,662750.72,607146.2065,463255.4031,467937.5752,426596.7529,1013363.874,715914.4688,552237.2412,549598.6472,758274.6836,1327233.908,525713.9717,788218.9097,593312.0859,389753.5564,680988.1738,859530.8789,461874.2549,955087.5806,481810.9746,544341.2734,555883.2905,825547.6274,594425.8135,683344.5498,482611.3457,647687.5889,567439.8403,590480.7739,446768.0972,523841.3521,364701.6729,205302.703,477437.6531,343994.1125,431240.2371,957084.748,600860.168,382776.517
20,789233.8867,647436.2935,1408923.599,776912.2373,594139.0186,470389.4312,766293.4287,485476.2412,470681.5164,455081.3345,467092.8589,656960.5396,768802.928,642887.5156,538133.9443,892597.124,737044.4023,1139346.307,726089.6982,1200330.958,497580.8679,380946.7588,582567.2485,631033.6079,581979.5029,472569.5103,1226376.068,982697.7285,1103500.427,691018.7197,667207.0906,435298.7207,401851.5305,838390.0166,1270910.192,438274.8958,1291981.122,923929.4004,484968.4441,668900.8706,403387.9995,503021.9198,957237.3857,415100.8525,784949.0347,665212.2383,511052.6628,1005067.964,531535.4761,688399.8311,549895.9497,680946.3076,697532.0107,647780.0898,304350.6931,591487.7686,573371.0493,714863.6699,462110.5139,1007710.027,578974.3728,511050.9368,543259.3047,665435.2285,683200.7712,635210.1035,487917.1331,486148.4712,448406.3865,1048098.653,746450.6475,570636.3672,570463.0413,790345.7642,1366754.712,553784.2842,810420.3584,627813.1631,407659.2861,703328.3547,885458.9746,491028.8901,982548.2236,504816.5928,566294.5215,575502.4624,846047.9429,609191.6348,707689.4419,504960.6528,677404.478,580045.0322,609394.3711,469234.8127,545129.1719,377804.4805,213931.2627,502319.2751,355766.9397,452874.6865,987342.4326,627931.1465,394207.1884
21,818669.5068,676191.4497,1450218.505,795282.7285,612527.2813,492748.46,801955.1797,509365.125,489580.7058,476274.8345,483387.9902,675917.23,793045.6888,667750.7368,551973.7827,938113.8008,761155.7676,1179936.657,753058.4678,1230800.842,519607.6406,395834.5059,613360.6968,653791.9434,604183.1416,488892.7646,1266647.932,1018167.494,1126757.499,708586.7139,688263.9626,452395.8701,416103.2053,868553.5762,1318744.543,460254.8513,1336359.873,956355.1484,506732.6406,694236.8657,420716.625,523446.2893,987334.9512,435350.897,806561.3052,687957.9746,530499.6431,1045038.196,553676.9512,703860.4165,563580.5566,702220.7505,723363.8389,665693.7021,317910.1619,615844.9458,595746.0933,740300.7939,479780.1865,1041184.347,599785.8645,534670.8523,564291.0171,701467.3723,719976.8705,663438.8071,501350.645,501784.0327,467527.7937,1084942.806,775410.8203,598805.2988,596804.1052,817977.0039,1403585.726,572865.7402,841316.6953,654250.9341,426159.813,719630.6812,913552.7949,513186.5894,1021541.807,528449.6509,583744.5479,596398.8867,870782.1172,631497.0327,735051.626,525368.146,698230.7603,598574.5684,622156.9404,483132.353,566225.2427,391228.7466,220817.0198,520245.0908,372335.0587,468596.3315,1017814.672,651595.5088,408875.139
22,842286.1895,698870.0645,1490589.931,819212.71,637123.2334,519982.0015,827193.376,534429.3228,508948.603,500083.1328,498305.3555,703244.5864,823377.9891,688829.019,581848.9297,980204.0649,782145.1299,1222874.939,784306.6406,1259550.798,542101.9602,411579.3879,640718.311,674352.4478,627275.4705,503410.5698,1306665.271,1046640.044,1151285.163,729618.5664,705934.2786,467093.2012,431331.4163,901061.0576,1369566.498,481205.1116,1385694.621,982486.5234,528807.2661,712848.7871,437014.8813,547607.1726,1018737.389,453471.7056,830518.9819,711910.3262,554526.4365,1081877.854,570196.1069,730429.3555,580719.1475,720546.5791,749050.5532,678938.6221,329744.4312,637290.5884,614301.5542,758627.3975,500472.5493,1091693.497,625832.2766,556572.6155,585248.5735,732168.6458,737125.2963,686034.689,513823.7729,520829.0938,485085.0078,1109612.949,801676.7139,625933.1475,622440.8933,846343.5996,1439326.648,594408.0522,860755.2334,672289.3101,446146.0186,741883.6851,940401.0762,544437.6519,1045716.714,554642.3882,608076.8945,616404.4287,889097.041,648133.5044,762819.3228,543780.6475,718223.5151,617387.6343,640189.313,504500.2314,587560.3979,405602.0454,229448.4113,543591.3379,391423.6694,484030.8213,1047987.17,675505.9482,421051.2147
23,865442.4004,721437.5088,1551758.031,839862.3301,652131.8379,542716.2466,851319.4678,556531.3428,527618.5989,512402.9219,512174.8647,730650.9893,849026.4168,710088.2256,596223.1406,1009935.83,802869.293,1259123.478,812035.6592,1294454.253,567410.3806,424674.5173,653454.647,693165.6689,645246.5129,522098.4302,1353974.612,1076834.969,1176676.342,750288.0972,732045.2327,487295.3547,442307.6951,936226.0605,1405318.871,499397.928,1426791.551,1013990.414,549977.9038,733873.749,454343.4541,564997.3394,1046002.486,470492.8433,846603.6846,732083.3696,571089.0923,1107346.554,582301.1157,750414.3022,606148.6953,737527.2637,767121.5063,697888.999,342714.2703,657780.8101,635461.0059,774942.7222,519647.9097,1124977.181,646409.8513,588337.3855,597227.8167,764688.6965,760877.3358,708037.0674,531047.7056,541731.4873,502746.7188,1138074.975,826077.2939,645866.5,644866.3184,876313.3389,1474733.656,630369.8364,886744.2695,701890.3193,459840.2275,758295.2593,964713.8955,560852.8606,1072817.373,567355.3501,626815.7832,639172.606,909594.1045,672926.8809,784231.7031,562761.1792,739519.75,640769.7368,653276.5854,520969.0254,609939.7905,422018.5957,238298.0483,558437.3896,408794.6272,500103.647,1072206.761,700420.4395,436147.8994
