Percentile,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Associate Degree,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,High School Degree or GED,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,"Some College, No Degree",Some High School,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
5,563983.0386,534787.3223,866788.1782,509115.853,433693.0938,458714.709,544061.2021,461385.9856,423693.8423,497043.8736,389892.1855,507202.9946,609864.7074,507271.4702,458055.2856,667351.0879,537493.3174,679890.5664,548550.1328,743161.1289,437977.7588,422249.1953,463235.9688,509863.6208,531010.1655,443823.6636,686855.9358,630851.1392,666748.3076,521808.7036,528138.0884,417853.8425,393606.0896,591841.9272,786149.2725,439206.313,784794.0151,594396.0034,449278.0659,563707.3423,407880.9321,441042.3396,657008.1396,377170.8792,594479.5471,428865.7903,425552.3076,600957.3994,462618.3772,534323.9053,498078.4097,550518.2351,558136.866,522952.915,293197.2695,474888.3188,472150.8838,547502.2288,422643.8762,649749.2368,503084.1967,463090.8916,465233.3591,500265.041,601634.8102,515834.8638,465492.7432,431590.4307,416838.8936,734834.2212,557916.1929,438100.843,521335.9983,582530.7256,793746.7891,548796.2637,649433.2529,552597.7568,406909.7065,524908.7271,680325.7695,514234.217,728171.5513,417605.0864,468698.4033,476950.6606,626027.8569,442724.8286,534947.3604,449757.5225,590052.7119,520280.2998,492691.2289,443958.7915,467028.7212,336609.5337,238544.9509,452619.771,390326.3813,383432.5854,648544.3457,554258.7544,385380.3904
6,610004.1592,579442.8594,928798.0337,549015.5483,469681.1113,485963.436,599844.6084,511892.8208,455857.3599,542335.5056,417309.7202,547189.9897,659977.4974,546666.4834,484985.3379,724847.5986,572012.9702,749074.1416,593024.7769,808665.335,469205.6563,463811.1865,498661.8242,553343.7241,563996.0049,482180.4116,746378.1567,691946.1768,717750.5132,554161.8687,558577.3218,440728.2534,413531.4224,634904.5786,840149.522,464958.8501,835179.5581,637089.4697,482936.0249,611120.1602,429103.9443,469781.7092,709739.0771,411345.1807,622872.6099,472966.9822,457420.9385,647306.4976,499748.761,560882.835,537350.3833,586251.4956,587599.5701,549595.6602,313270.9043,513331.4424,489741.7964,589021.8589,441678.3914,690486.7114,526645.0165,486220.1123,487332.9246,543595.4707,649087.0533,552117.8101,480044.3135,466094.7061,461425.3394,776804.4756,600605.7339,483540.8848,551985.2776,626860.3096,867114.5,572811.71,689645.5566,579003.5928,443896.748,577410.0649,733097.6455,538504.4868,792546.1787,453635.5098,495120.8643,510471.8647,662530.439,472957.4927,568763.1465,478321.5933,618336.5537,552064.1387,537195.6929,465788.3071,498531.6782,362452.7881,255204.207,480162.415,414862.5771,413404.6621,690736.4482,591851.0811,420977.6624
7,651849.1992,621683.1743,973057.1909,583106.0205,507032.7529,504714.9897,639304.0786,531997.3457,486935.0576,563186.1365,435863.5952,576510.0288,701365.3301,581171.4819,503778.7749,788403.4595,609570.0728,806545.0117,620361.394,874790.4004,500137.2319,481839.95,515593.3774,592280.6187,592803.0039,513130.1492,832161.4312,739870.9941,762921.1909,587044.8662,582759.2178,472741.9839,434419.0371,674210.7007,912692.2773,490067.8979,909065.9697,686095.0859,514961.2734,636357.2793,456322.562,494985.5896,756932.0127,433018.5625,648233.6367,513387.6978,486778.6875,695617.1929,527646.9795,593268.105,558846.5957,612163.3364,614395.0195,575689.2725,330658.627,536330.9849,520526.5386,628720.2856,467419.5676,748854.7788,557404.7531,507519.4209,541670.6697,567710.5698,674047.3842,580521.9287,505387.7173,494784.4429,487302.6548,822048.9365,635800.0269,524956.2397,581033.2803,672623.064,936761.0156,584319.4668,726090.6396,607662.4033,467528.2173,609254.5513,783126.0117,575037.5898,825030.7041,483361.312,528567.8154,543499.7813,692314.3745,495125.8438,606840.4448,509682.1938,648681.0293,583224.7808,565996.0435,490317.8979,532123.6479,384913.4878,266612.7832,525769.7559,439506.4592,436009.3374,715454.167,625097.5039,434620.7859
8,687305.9688,648681.1929,1036068.833,606765.3193,539221.8438,530833.3008,678261.8682,555057.5938,528569.0928,595366.8127,457089.2173,615812.9839,749074.8643,612197.7295,524696.0605,824762.645,646445.0488,887030.3809,647259.7227,934125.7461,529068.5728,498145.999,552640.4243,624048.4873,616286.1816,536070.4011,883834.3628,787120.5254,841045.3301,615827.7588,615201.5244,497774.7695,452174.8706,716417.062,974188.5303,519663.2842,943745.9854,730342.0537,543915.8921,677573.7119,485380.0356,520274.5071,797964.8438,460037.6265,671125.8301,551518.0845,514187.9692,743099.6304,555553.8608,620217.4048,576770.124,644548.915,638849.1685,601916.2935,347262.4014,566011.6641,541225.7192,654490.9175,482988.7263,792115.6157,579476.5187,531414.1211,563819.1948,597117.7905,705216.2074,621331.8047,529283.854,518557.6133,519401.9653,861733.2715,680829.4512,547380.332,600288.9609,705887.6543,996849.7393,609559.3877,760339.1587,647822.1943,491992.1948,633348.0801,836102.8662,598317.9531,859924.7236,517463.8345,545452.4561,573763.7271,722992.4092,531077.7495,640798.7939,535991.9619,668770.5845,613108.3979,578082.4482,521979.8198,560198.5063,404350.4136,280015.1387,552200.73,463491.4106,461031.2349,760856.9346,654199.707,455876.9837
9,715398.6465,667488.4136,1152506.27,634857.5825,569067.1069,556901.7461,712920.6982,575371.6626,555010.6221,618603.887,480016.6904,646869.6943,773250.7998,639925.2969,550522.0693,862556.0425,675816.625,948661.6006,678258.3496,985736.916,551356.2988,515921.1924,588463.208,649939.6602,634327.7607,557254.991,948322.7603,835643.6064,870430.3403,641239.2373,638865.5679,525606.3267,463939.4648,755399.4751,1032093.686,542719.5508,1013864.206,771673.8916,570997.0332,699991.5117,509366.2109,544450.3416,834208.376,483656.9326,703188.6392,582786.6294,538316.0771,798243.8389,579822.5508,648081.5923,600616.2412,669546.4033,665589.2227,624405.9131,362979.3979,595502.3945,570600.6509,682000.6821,509033.9866,853350.9106,608793.791,555840.2744,588609.9844,631318.7563,729382.1893,652238.1279,555493.7588,541550.7344,541857.7397,905659.4932,714114.6621,570571.9209,625923.3013,753637.1787,1059222.487,643202.3062,796797.6152,674608.9526,511259.4165,663168.1807,869360.8086,606617.0967,899969.8145,539572.7593,569503.623,600791.8423,764656.582,564307.0713,669124.9658,560023.04,683914.1421,632297.8604,595372.0908,540967.5176,584167.6421,419417.207,292031.0474,568848.9048,484415.0283,482855.189,795362.3506,681775.6162,503152.8218
10,745155.1406,696359.9517,1176703.461,658763.585,592036.5005,585245.5166,740263.6729,613057.0122,582636.3247,634835.0559,498265.1362,670284.9521,792302.7666,664662.6279,576908.5054,888369.4233,695595.0059,996420.8486,712965.7686,1034247.604,579763.332,538845.6006,602580.4775,671523.6665,654244.9199,571098.2058,1016647.453,873354.0645,905336.7388,670121.6631,669697.0342,550192.7788,475090.917,787471.8472,1087109.651,563098.1699,1062733.168,806985.9873,596240.397,724813.9502,528124.5767,562256.3484,873162.8398,507355.9819,713157.5991,609690.1177,561990.5474,842456.2168,603200.3325,683369.9644,617426.0967,695025.4629,702598.9902,656184.1523,377697.5947,618507.6543,589295.0098,707493.481,523356.0696,907843.624,648923.4946,593024.9888,606254.3037,654050.894,753262.1805,678454.9346,578638.4326,565053.6143,565747.0566,944236.6523,744467.6699,605503.3208,647681.999,789548.3994,1123344.716,681510.3623,848297.2656,706979.896,538860.0581,684570.4702,900855.0459,633927.4287,919668.4136,570694.3589,601916.2808,622216.0249,796411.7744,578823.5688,703643.4551,585353.3643,705233.8892,653874.4556,607149.272,557034.6118,609433.8486,436662.5752,304268.7354,596950.0586,499589.9341,498113.9146,828245.1641,705125.0869,530083.4795
11,773678.3545,721365.8018,1197758.915,678802.0918,608043.2515,606403.5947,772937.5615,630472.8813,600738.0508,654269.3721,515543.186,692159.2539,836078.7402,691682.2627,606009.2754,914196.2212,722262.0928,1044862.317,750873.0225,1087612.247,608458.9517,557631.2256,625843.3638,696564.2881,685099.9517,591824.9546,1065855.199,910341.0049,956190.8315,689401.1572,698345.7969,565721.3052,495401.2725,823877.7217,1135810.972,584193.5508,1118945.621,843567.7988,619278.5747,746325.2842,548312.2041,583163.7805,905195.3877,529244.9473,719147.6738,636670.1885,580851.4419,871543.3223,620126.2959,706097.2188,637100.1855,723097.2324,724484.5449,674834.1641,392211.6753,645558.3838,609137.6826,730336.1533,547745.2222,963791.5146,667133.1851,621714.4355,621557.6084,685520.3325,799537.7377,698954.5566,594590.5972,589856.3384,583169.7695,977435.4658,776033.2686,632898.6499,673586.791,817584.7256,1191845.249,704893.8013,886857.8037,738157.2793,557895.8213,707972.8257,938760.9482,654706.2944,938248.7964,592764.5039,620003.4683,638637.9399,825158.4141,619353.9399,737062.2529,607253.25,743563.7109,673653.8076,630754.8481,572235.479,628350.6055,453094.9648,312824.166,616834.4155,521398.0012,515128.6187,869492.6992,730153.5205,556061.4763
12,804301.748,747235.0273,1233859.249,704418.5781,627765.4233,634382.3428,802607.083,649452.083,618719.9019,666736.2061,529716.2817,719573.0615,861768.9531,716931.2979,629831.5693,943895.48,748520.9795,1085637.366,776026.5068,1125789.503,627108.2983,570986.1367,638521.0151,723542.3887,700863.855,603145.4448,1113482.878,948006.3818,993499.4888,708219.7793,718875.6826,582391.2236,510189.7285,855453.0566,1184278.383,607751.396,1158558.549,866835.3018,643347.3252,768052.8848,572032.7534,598825.9153,938494.1494,549681.1729,767271.626,658862.9863,602432.7036,918933.0273,644441.4824,724618.7544,652216.8438,744426.9111,742955.2451,695600.6025,404041.3242,669007.0352,633522.5186,753352.4634,567697.5962,990645.9033,680367.3833,643274.7871,630173.5742,729072.6685,824160.6655,723682.3252,612724.0049,606357.4048,608497.6616,1010182.521,803312.9854,655470.9521,715595.6792,846675.916,1235027.176,722557.2666,908634.7773,757257.7256,575037.2974,740225.4761,969687.7168,667525.0386,959284.3784,611310.7773,640411.6455,659910.9058,868582.6504,637486.1826,760731.0479,629360.3018,774799.4727,686796.1143,653931.6128,591554.6919,648457.3115,468354.6953,322828.5703,634457.3486,536662.8865,529000.6245,898436.8711,752504.7568,577868.947
13,836107.127,772279.626,1318685.6,734941.8398,648460.1958,652313.9668,827540.0127,666539.5068,637003.6021,690536.5322,545880.5098,745774.0166,875361.9961,740838.6572,642437.543,979511.3677,771659.5293,1130045.996,805622.3691,1168051.574,650298.5669,585940.5464,669292.231,747602.9395,727152.2656,613397.6284,1181168.042,987893.6377,1041371.98,729153.6953,736066.1504,603791.2847,522972.2588,896442.1865,1233811.216,631643.3159,1217191.251,903673.5996,665023.2676,788146.9102,590987.355,624040.8606,971655.0557,569325.3936,798969.1904,680753.8687,623314.4355,955234.2871,666629.2256,745441.0698,665509.814,762632.1836,770027.1719,708449.5791,415921.5195,689298.8545,655880.2642,770574.5708,586608.0635,1025417.746,706322.1821,660903.0283,647161.6855,750171.4194,849975.0483,743904.8262,633246.1255,631787.4102,634822.3604,1038624.065,826851.0537,680586.2988,738160.1113,876343.2705,1278612.002,759581.71,936803.7422,785638.8057,597124.0933,762396.8965,995432.4111,681396.6885,991876.2295,626051.8682,663584.1167,678177.6523,899369.8887,651053.7466,784300.6719,648280.9668,798895.1445,706391.6924,676707.4258,607134.5303,663469.9902,483187.915,331289.9673,656038.2842,544752.4646,545971.104,929788.7852,777208.0684,585250.6023
14,858145.4844,791650.6299,1374563.25,759633.4834,665382.8203,677363.8721,853775.9805,691940.2676,652571.2896,710835.5039,562033.6758,767675.7256,896371.1084,763613.166,665579.0361,1012457.936,791736.4189,1180375.263,822835.4385,1207521.735,669103.5142,607217.6792,680874.3149,769636.7979,746698.0645,626856.2905,1233070.817,1020145.588,1067463.854,747398.3428,759890.0762,620441.1099,537580.1074,926661.8096,1280374.694,653433.1797,1244247.426,933054.415,683958.7686,807860.7461,604293.6729,641768.4568,1001390.23,589663.5757,817257.71,710348.7505,646038.8037,996252.7676,686312.6201,762039.4482,686961.5728,778985.8164,786540.9414,728875.5195,426798.6318,708447.1016,671165.8013,788532.1099,604931.3633,1068492.035,733709.3169,684693.3525,662801.3955,782088.8267,875881.7007,771687.3682,659931.0366,652636.9209,662130.7305,1073077.063,852779.1299,700666.4512,761855.0986,900961.5146,1319666.046,773772.3906,952385.415,815268.123,618859.8398,778002.416,1023069.145,708638.3711,1030878.305,638883.3755,681881.4746,697345.3838,929639.8984,670197.2354,810054.9746,664392.2266,809999.3555,729327.4751,693908.3027,622477.9727,678873.0977,496200.2065,339642.2344,688956.6445,564630.0842,561725.1328,957831.3271,797018.7441,605357.2368
