Percentile,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Associate Degree,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,High School Degree or GED,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,"Some College, No Degree",Some High School,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
5,617346.4741,554306.9385,965511.6318,521359.4663,502721.9902,509764.6807,605073.1167,540047.3096,500342.0894,525561.2,389892.1855,557028.2734,789999.3794,654173.5586,553055.3818,724631.0059,558806.8193,777460.8296,717970.8018,795727.9863,442353.4539,618941.1714,473146.3721,531079.9539,572507.083,434564.0255,788668.3867,684924.0229,663415.7979,534736.4897,547909.1157,434017.6658,439899.3193,646653.8774,893294.4995,518428.2148,820155.9023,630591.7549,509433.812,584775.3735,444869.9326,446664.6091,689179.438,396732.665,603405.3652,482051.6934,503312.0254,653749.9307,524837.5791,579842.4668,534350.4365,570741.4414,623549.2026,558363.3149,293197.2695,548422.7617,474337.5918,583432.3491,439477.0581,719930.5718,568744.0161,485297.748,525249.7012,530507.0728,665055.8197,534493.084,531350.2065,464341.0674,492230.9819,744977.9424,572962.5874,456635.6963,626374.1592,686248.5894,893426.1904,564093.7026,670028.8428,684925.0474,449690.166,566462.354,730546.7891,548395.0554,714839.333,492714.9355,531570.9233,515534.0986,777325.9058,476458.7441,617427.5884,524886.1362,615443.5911,587593.5244,577511.4702,521016.5718,515050.7661,336609.5337,238544.9509,572493.0469,399551.333,413000.7996,662626.2231,623998.6396,407657.4651
6,662313.6265,591842.2847,1074595.7,568093.7617,548370.7383,540220.6025,646446.6792,583865.9351,542652.5078,559952.8389,417309.7202,605930.3301,836623.8315,698241.2754,588120.8535,763406.3369,599220.0259,868806.7437,777900.5264,880390.666,473757.6543,669019.1309,499738.813,575832.0762,602490.6006,471432.4835,870843.6909,751703.9463,715805.3794,576202.9126,576187.4424,466496.4385,463164.6274,702335.7261,983647.1572,556812.0386,899798.71,673878.5488,548822.7163,630039.3149,486093.6138,472859.9695,753393.4912,425074.292,627171.2837,530406.1948,543971.8721,703813.0474,568044.8828,616567.7954,567587.5449,618885.6968,659993.543,588011.1118,313270.9043,586952.2583,499846.6997,618992.6982,465986.1455,793125.3452,600047.0957,531238.2744,572048.3145,554874.4263,717752.041,576894.8252,565179.0332,502930.6631,532531.0034,790407.1006,614973.229,508679.8398,662449.4199,743559.7612,979600.0586,628949.127,710858.5635,732228.4575,477990.5552,600738.376,795007.2803,594030.8022,766482.9893,533459.165,559859.7808,550442.4702,846941.3037,504939.7441,663692.0234,562933.5947,664304.8701,620921.0073,604012.2383,551063.5791,551296.7007,362452.7881,255204.207,621966.251,436612.5288,442845.9277,702500.5376,654901.0566,437022.519
7,701525.6064,633119.0449,1137386.414,596476.3555,583406.8579,579403.6206,696156.7344,619054.7495,578167.5483,599474.5591,435863.5952,647710.583,892107.0156,750222.4658,630957.752,822289.8335,643658.3027,956530.9551,830303.9482,952454.1367,507864.564,720776.4712,515209.4058,618717.1421,649550.2593,514534.6921,947459.4229,808686.0986,781323.1929,608925.3457,614254.6431,492749.1743,483741.3491,753149.3242,1054665.873,595573.8716,977210.9287,727567.9932,587864.3726,670130.0908,514457.8511,503571.3831,802662.3164,452809.7197,667013.4785,561076.585,580306.4038,776566.6919,605246.6973,660357.4873,600084.002,648861.8501,696057.3657,625048.4663,330658.627,631356.2334,525618.0625,648230.1763,498192.6628,860852.9224,640205.8291,570629.7749,603009.5938,590469.0591,758248.186,621194.123,612591.1489,539101.9717,575461.5264,840223.4155,654119.9663,542774.269,707235.5908,792561.9229,1045367.444,652365.0947,761725.0635,773799.9858,510048.269,642758.4824,851581.8086,633354.4648,792527.373,565741.897,600603.6201,589436.9795,918074.7979,546513.2402,716418.1953,598997.5049,705887.1045,670117.0171,636836.0518,585046.5625,583390.1904,384913.4878,266612.7832,656391.5493,460902.3301,469752.6318,751297.4395,697056.5801,469931.98
8,739990.7734,663601.5542,1236785.892,623603.1079,614572.7173,612415.5811,736352.5684,656865.7432,609445.5195,638991.8818,457089.2173,676350.0928,930298.5371,796786.6543,673993.2178,861119.1079,674926.4346,1016152.926,878174.9219,1022317.355,536262.9878,772089.3901,572440.4165,650245.2578,674299.9722,534834.145,1014961.65,854782.0811,835691.4917,639301.0732,635845.1304,521967.5488,507813.7173,804015.4111,1124046.259,628782.7017,1054439.604,773632.3994,624817.0977,703993.7178,544073.9263,528545.6125,848761.3311,476838.0303,686487.0884,594412.7295,614082.9229,836922.8027,636886.1357,697648.2266,629348.9585,679072.8008,742894.3154,655169.9663,347262.4014,665199.4033,551794.7256,687356.7612,526222.0527,905234.4277,670829.7754,604398.4902,632160.2988,631199.7554,784048.9507,656966.999,647101.8662,561308.6855,608276.3574,893582.8604,701957.1826,569137.2095,756712.9243,840376.2246,1127836.301,692076.7559,812048.6465,822038.916,540918.1313,674052.9058,888889.7754,645812.5938,826884.0913,598008.1499,630061.1846,617489.5117,987291.9063,571675.0508,756726.7197,632874.8477,747121.5664,700982.4541,666311.811,613153.2813,618733.998,404350.4136,280015.1387,685331.2813,481751.8855,493125.5903,800116.1406,737223.9688,500624.6736
9,777673.8877,694667.0884,1281788.526,649984.917,637126.3481,646913.2568,778128.5566,692593.2832,639580.1548,667261.9961,480016.6904,711706.5498,984638.3301,833689.3076,713447.7783,899405.9126,700917.9189,1073312.831,919418.4141,1078836.092,562999.4497,811704.7852,594737.4355,673993.2803,701722.7095,560073.9399,1089471.328,903353.2852,864607.729,665883.8789,675502.5,545803.7153,525762.373,849938.6309,1190410.293,656237.0811,1139575.272,810230.0625,656789.2285,739659.9375,570380.8599,554445.5969,885769.8271,500782.6411,714577.6787,630283.2153,641592.6177,884394.4863,666880.7578,727194.0112,649846.6782,708508.0615,763407.2998,670820.2422,362979.3979,695101.5117,572907.6006,712266.4478,546399.9409,963128.9688,701342.2861,626157.7188,649916.5923,666977.6709,834597.5293,683653.3662,686773.8574,592933.8042,639805.084,936192.8691,734771.7627,605159.5376,789626.6592,883159.0781,1193405.398,722928.0708,855531.0977,866203.1338,572196.6001,711099.0537,931529.8916,677063.0698,872793.4058,627874.7095,654356.8291,642321.7417,1025774.03,606548.2666,796315.4189,663179.3154,786899.2725,729683.0889,701862.2246,634199.8164,645413.6328,419417.207,292031.0474,713995.8066,504556.9944,509431.7422,845257.042,772584.4775,540456.4915
10,815943.0928,719981.4644,1350735.038,681480.5723,663208.853,670457.5039,814440.292,722728.4707,669086.5522,704698.0195,498265.1362,745658.2373,1025263.588,865502.2666,740092.3877,943754.4849,731923.5449,1138318.396,954896.3301,1128243.338,590811.1641,853593.8721,613225.5605,703183.6714,719212.2124,596698.1079,1146828.409,949594.0127,926462.6724,693722.2012,694273.8691,569450.3018,543967.4683,887277.1807,1255896.002,680118.1797,1214608.173,850408.0625,683375.1924,772073.3125,595680.1641,584745.0071,924309.0791,529404.1973,757420.9199,657508.1235,669738.856,933509.9639,694831.7979,756324.6357,670543.3145,733736.9912,804580.7002,694916.3545,377697.5947,726351.5527,604824.0405,741536.374,571320.6323,1017143.862,729998.752,659902.9434,669357.0332,709008.6709,887036.5757,712736.7236,709154.022,619259.0894,677848.3945,974574.2803,766866.2529,636025.6616,816554.127,922903.9873,1256859.297,745971.9209,896246.8018,906868.0732,594825.5239,739991.3936,969804.3076,692361.9683,903071.6128,659522.1807,679929.6431,672645.4766,1074589.56,626674.2695,831666.8184,683716.9404,814151.5771,754745.5859,720412.6436,657056.7422,665076.7441,436662.5752,304268.7354,746680.7441,535490.9475,527732.4058,883519.2607,809947.0996,574596.229
11,850167.2559,748277.8193,1410340.552,705228.9766,690820.8237,696606.1699,849318.6328,747171.4961,695818.4468,729444.2217,515543.186,774127.4902,1062999.556,901666.9688,766847.0996,975794.3579,759885,1204070.091,996706.5293,1174047.536,618240.8076,889364.4639,634575.1616,733657.9463,744761.7637,620933.5308,1206786.396,993138.8652,970913.3413,715924.3193,723533.8682,598032.5664,564190.6851,932999.3262,1313425.362,701708.0156,1262255.805,883956.248,709302.5361,799400.2705,620081.1758,602851.5051,969961.0332,552160.2192,788045.5508,685251.9565,697982.8457,987339.5615,713650.502,782639.8633,692804.4336,762717.0801,846307.7344,717468.5703,392211.6753,755919.5264,627533.9785,761004.6323,592452.0674,1084986.296,757324.2529,689622.9448,688607.2793,737378.8643,912153.333,740030.1563,745864.6045,646801.9609,703016.8535,1004753.304,800098.8955,661956.6475,832008.415,960436.8848,1312397.039,760516.8047,924803.4717,949277.1338,615941.3213,762361.8193,1003058.935,713133.2148,929291.1582,683972.6904,712830.1938,692010.5352,1109141.905,641384.2339,872112.3213,709012.3018,843925.2314,783769.3359,734435.252,678737.6543,683281.5605,453094.9648,312824.166,769583.8633,545471.3582,543706.459,916326.3789,841921.7832,595478.8013
12,877599.7217,773447.5283,1470200.747,727561.2686,715930.6577,717874.1592,876044.0723,779068.0391,721887.5752,754669.709,529716.2817,802439.2393,1098597.535,941132.7305,793016.2539,1010882.35,784780.3301,1243379.416,1036325.66,1220688.139,643862.7695,923275.4229,653572.4497,759185.7227,778261.4492,648046.6875,1275888.386,1037797.344,1014449.397,735126.4863,753282.1826,617855.5142,583328.5542,972471.9863,1371503.695,724254.3442,1312876.533,925766.0654,734583.7539,824619.5781,644550.5635,630103.6306,1000801.392,574194.1147,803992.1563,718002.7607,720448.2178,1038707.205,737149.7607,817957.5986,716357.3057,787931.1377,880528.0371,742373.7178,404041.3242,780681.417,648090.439,786961.2202,613607.7061,1130492.893,777189.0322,710470.8169,701424.9185,774546.1602,946563.3174,766355.6777,772004.3223,664689.1553,733380.7207,1042984.619,827060.2969,686374.2754,854591.1563,1000859.919,1367439.332,794274.46,946389.2119,989813.5498,637899.3828,782342.998,1033741.807,752147.4219,961094.2031,709504.0049,734229.0156,718856.79,1149455.887,677627.7422,908122.4229,732882.4902,870334.5034,807133.1992,761797.2988,697169.126,706559.6162,468354.6953,322828.5703,797111.792,557259.009,560213.2456,949014.2666,875166.9004,611809.2915
13,909822.4688,801654.4307,1516542.734,759551.1689,743267.9395,743064.9434,905710.3662,803643.6035,743890.5869,775553.9307,545880.5098,832631.292,1127184.143,972197.2891,818017.6934,1049364.921,810852.0752,1277480.39,1073088.769,1257142.292,664847.5229,950621.2617,674363.2407,781130.8604,812104.0137,663310.8335,1312901.236,1079743.084,1050678.624,757584.8789,772225.9805,646649.9292,600570.5542,1010396.696,1430553.383,743763.2119,1344114.729,962519.668,762231.9355,848652.1875,669176.3477,655203.6873,1034249.61,597840.127,824292.499,736172.2168,743073.709,1075152.241,766069.084,846191.542,743142.3877,816588.8486,914067.0801,762125.0674,415921.5195,806863.1875,675033.1099,813754.8359,629029.5112,1171751.121,801162.5625,724006.4116,713387.2876,802523.5981,975213.3213,789114.6563,793445.2549,690049.8564,759818.3057,1074721.015,850050.1738,707963.4219,880396.1113,1033113.912,1415633.542,821173.7734,974128.4844,1017622.985,660960.5771,797327.5391,1065496.141,773008.0098,1003976.161,734542.4316,755777.0664,739017.1572,1194767.807,695136.6499,941243.3066,760468.8359,890947.8218,825266.334,778854.334,712315.7734,734812.8232,483187.915,331289.9673,814058.3916,574114.9956,575451.2397,968594.9551,903290.8672,637075.292
14,931970.0928,820741.167,1585524.992,790486.8271,764213.6426,761243.7324,937664.9531,842235.4277,766872.3467,795223.1611,562033.6758,857412.3652,1162666.602,995686.6123,840079.2324,1083499.271,837629.6592,1334488.218,1105862.985,1294769.598,685561.8618,970417.7832,693753.9614,809325.5332,830196.6689,680267.7827,1369196.367,1114994.092,1078391.388,775839.7256,799662.9043,667249.1577,618655.9014,1047182.422,1477984.956,762265.6074,1412905.717,994567.8057,785615.9092,878716.7646,685876.9795,671272.5671,1065039.982,616100.6748,851741.8711,761824.7285,762984.7002,1115931.074,787819.9932,869423.6445,758567.2412,839080.4395,934422.4375,786882.4043,426798.6318,829550.3115,698519.8809,830346.0005,642312.8203,1212004.421,837946.4238,742888.4971,741648.0352,831425.4536,994595.0313,809048.6748,814843.7529,711012.7471,787542.54,1116768.588,879611.5098,727946.1094,898983.7197,1060900.543,1460860.082,842454.0811,992390.1982,1046712.311,685176.8115,819212.4453,1091441.301,799416.6006,1052985.201,758630.2285,776922.1436,758486.5527,1240049.807,718946.5313,972890.6582,779706.4785,916523.5107,848839.9229,798197.7319,733501.4277,756948.0508,496200.2065,339642.2344,840907.2383,594683.3884,592668.6279,1005036.241,926898.8047,662892.918
