Percentile,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Associate Degree,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,High School Degree or GED,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,"Some College, No Degree",Some High School,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
5,286687.5903,201992.2063,647785.5895,302393.5707,239604.3237,155070.7292,266313.2156,154068.7137,149325.9875,139894.4827,145546.5378,220881.5472,399788.127,292057.281,227992.5728,368948.5106,258563.302,403970.5321,323920.4084,449410.0579,131430.5147,212672.0748,200946.3845,186041.2747,184826.8121,151764.8199,445259.939,342246.28,485360.7748,245688.2484,257498.7542,134711.4021,143191.3791,297719.3966,506426.7192,139417.6177,439815.6006,358066.1798,150883.447,223514.1293,121958.6812,145192.1838,374913.7653,118610.9929,373195.8696,228474.8546,187807.5885,383141.3108,186997.1196,273683.4443,199235.2214,217257.3822,274174.5144,234858.317,84183.99854,213996.3965,196885.2253,274783.0615,174899.2089,363595.8923,197126.3213,172419.0845,171614.4145,239443.6487,239000.2994,193554.0315,181043.5661,155813.99,138563.6259,407611.0913,236670.2032,171092.8564,242419.063,277049.4155,554972.2981,202190.2448,321755.7217,277039.9784,120977.5585,281671.1663,326820.9324,154204.9149,376813.4131,190386.855,223193.035,192010.3158,392268.3527,247950.7156,262091.5139,171780.6085,273502.7195,226439.325,237299.4423,180228.8559,181860.8834,106048.7129,55509.7215,191822.1473,100943.1836,159838.4884,437515.3674,222778.6053,124185.1382
6,340993.9907,235106.5471,754980.8271,361605.595,287898.5195,187671.011,308023.8428,195077.6048,180028.5594,175796.1736,176787.147,261498.0222,462317.3669,351242.5505,260133.0962,409621.3529,303358.0193,488009.4727,406349.0662,523997.6606,162348.0441,258074.2846,237928.6794,219446.0066,212975.2668,176968.0558,521778.6566,406049.668,524480.8722,291066.4426,296247.5661,157614.5499,173792.1779,354441.8235,608767.1196,169849.1207,534447.6011,413275.4557,185806.8329,266915.6016,146813.7278,169505.4322,442643.0662,142293.3416,415878.2439,257324.6132,224429.1627,455057.6177,223910.7979,324932.7275,225240.5541,250522.0542,325658.9106,271190.769,101062.9357,254998.5282,229908.6119,315327.838,207490.1777,423572.2192,226626.677,201373.4967,207655.0293,277964.6184,284321.8971,233937.4443,217123.0703,189434.3987,167822.1581,474942.105,278023.3022,199156.5643,287311.3857,329593.1808,640207.6272,228284.892,365180.6685,336152.5594,146465.6926,315077.55,385790.6553,183041.5748,442973.606,225931.3221,265837.6669,232842.0304,484529.3098,287707.6146,314610.1036,208925.5367,303562.2938,266221.7907,279851.3696,217827.3255,217327.9277,127955.5243,67926.71698,237726.2239,122666.6027,186580.5433,493635.5325,277681.0486,142989.5799
7,386526.0759,269985.2274,845542.217,411363.1702,322353.376,219656.2217,361387.6653,225116.5161,212521.793,196880.3318,203690.6675,308670.4801,536338.4178,412760.6187,298663.7122,452005.2096,348511.6704,556175.803,466275.9124,599431.1482,191262.2454,299165.3479,266556.7269,254463.725,255540.8323,193339.3924,585961.281,469805.2817,587128.1514,338683.3085,343211.7667,180256.2192,198070.1426,414479.0527,686239.8535,203062.3145,645389.3535,474859.1453,214461.4388,296877.0176,171770.0992,189433.277,500394.8267,166278.0728,449950.603,296548.4954,255674.937,520074.2454,266017.5914,376532.1892,260221.2919,291446.15,379246.6857,305878.3782,118558.7404,296421.7964,258768.183,352920.0245,230646.3355,489682.7307,251648.7767,225768.5407,244375.5154,311764.8069,342417.562,271199.8998,248681.6326,216620.0958,199887.4703,536427.655,317523.9626,233504.9587,330136.3345,384994.922,728573.4351,264158.2258,402236.8921,395829.1648,169611.0853,365225.7189,443111.969,218992.322,513893.3652,263973.7568,299262.4906,267368.3448,554400.967,328413.9829,366988.1387,240264.9512,348911.1001,316543.3165,326641.708,254634.881,254602.7943,150927.5881,79426.23132,269249.1177,141595.8105,217530.7479,537645.717,323756.54,169122.4883
8,441851.6433,307418.3308,892442.4685,449572.554,369129.731,249665.275,393425.5737,259638.766,243957.431,229638.2058,226226.1042,345019.3928,598261.1414,462599.3232,345263.9846,488198.2354,397824.51,639803.3367,532017.4163,665814.1221,214622.8158,338727.4663,278831.016,293064.2325,282445.3898,216768.1791,644348.1576,525021.3164,628038.395,380699.6212,375420.0162,205904.2684,225056.0936,464989.4417,776440.853,234864.0605,702281.8516,524140.1072,239603.2341,334082.1953,200257.8021,223258.2171,552217.5781,196022.252,490185.1055,335952.0647,292833.4185,568930.2627,300020.2174,421161.6816,282769.0597,349049.0869,414746.7054,362643.5045,136115.4421,339200.3137,292024.5033,400409.9266,256685.155,558239.741,270284.173,261327.8388,283368.6515,341503.1313,390091.4943,308305.0535,276832.0127,244979.6085,226399.2086,603404.7883,359250.3401,257200.8652,372084.8201,448028.2266,815713.4707,302276.6459,452032.1685,438931.925,194786.465,394987.8492,496945.7549,252304.5985,551337.6162,298626.323,330278.1168,304720.2195,623208.6775,362775.917,417445.3596,271659.7927,388257.2517,349438.835,384077.6194,288138.025,290829.1199,172631.3245,90375.91888,305122.6072,159208.0028,246338.8755,585367.6094,366270.4539,192719.095
9,482635.7595,346890.9485,973718.9512,478270.3953,408277.2358,282633.1399,433338.9548,293083.9811,266131.9822,257437.0155,247040.2539,394049.6633,664532.7168,513034.3716,384621.7834,526680.7362,436570.4771,705494.3496,583399.3423,737245.0801,240207.7411,388283.1727,303956.0958,332025.854,317034.0804,251432.517,726894.4059,586219.0376,684042.095,419584.072,405226.3558,231289.0696,250133.1905,507708.208,849315.7554,266799.0677,766739.9336,572046.9585,268974.4249,369029.5217,223309.4856,245748.3602,610940.8843,216144.4489,534209.0417,379543.1917,328994.348,617169.3691,329243.6913,462843.7766,317985.3688,389235.5486,456714.6821,392270.8667,154607.4769,376892.3445,319157.3875,435505.3221,277223.7974,615762.8152,316260.6844,288634.2379,319313.9216,374434.2815,436923.2982,346439.8685,316128.0854,269995.9183,254844.7562,650999.5632,400570.5947,290114.7043,402504.1858,511340.1892,894180.0947,330868.5103,509475.8813,495036.0718,216407.3379,436870.6084,548384.5806,285474.7545,607835.0186,325488.1536,368724.532,332036.6536,672049.7427,382887.9918,460592.9919,308488.801,419917.3722,394290.4872,410704.6287,319864.4298,323165.4102,191345.0667,100928.19,346478.343,176746.2509,273762.2383,631868.8184,404840.3,219982.4647
10,531984.0571,377381.2175,1063685.948,512781.5391,442116.3254,318202.2266,478368.2971,321975.2797,294236.1014,286088.2155,270259.9673,429845.5576,718452.9553,557340.5889,420537.6882,591862.5956,473196.9104,773030.3896,638087.9626,807129.5488,263704.1498,423678.842,341751.568,368814.0342,348024.4795,275461.4927,791428.2732,645857.2734,722745.9084,454678.3572,447917.3987,249174.3243,273873.3848,555585.6663,927558.4219,297043.5894,845925.0767,618384.2751,298782.572,405059.3755,248444.9866,268605.575,654720.7095,236606.8391,568032.481,421631.0276,362505.3676,676968.2471,357617.3606,496309.3916,359223.0131,434010.2451,501834.0122,435505.0466,169120.8828,417547.3958,352010.2141,473108.2827,302191.6453,674012.1829,348127.9388,332148.8925,348024.4823,409622.8528,487228.4047,383516.4871,338136.3566,296273.2198,274580.3533,701796.5505,445456.0349,318283.636,452672.5889,550945.3093,962104.2188,362534.9641,544406.9751,543163.814,237517.928,466480.8362,595357.3921,310549.0807,645091.8052,360138.5405,402474.9391,369044.8389,718056.7871,416667.8293,506709.0959,343811.8706,457606.1857,446714.0991,442519.0317,350606.8671,351747.6909,211080.353,113942.4589,389760.1315,198870.2402,301316.2119,674576.9834,451893.5833,243902.6178
11,575903.3364,408956.9634,1119466.226,541321.8198,472822.7568,346383.2798,513831.2988,357684.2427,322324.1654,302165.6699,295007.7615,464462.5605,777739.0396,603440.6968,459643.6687,641542.5867,513508.7166,845072.0884,691929.4561,871101.7124,292136.7786,455014.0074,363979.4226,404596.1943,388421.5496,301289.4158,852756.5884,697996.4736,779888.2568,492587.082,472803.6345,274861.1163,295651.3628,599647.0078,994304.1211,328661.472,936695.71,664490.1123,329803.0126,442690.7776,271559.4298,305222.4321,697387.4973,257753.1514,605616.5288,461687.4683,399445.3829,724916.9399,389062.5237,532133.5193,391597.1392,464285.6763,535566.8643,467843.9229,183303.6434,454169.3962,386810.9976,515882.8745,323205.0481,716335.2791,384931.2694,357248.9277,378073.875,442976.834,524086.5636,413941.7578,361248.3838,324322.3926,302402.2056,758519.1753,481083.0037,349240.9907,481835.8344,609333.8496,1034896.453,380522.6182,585650.9839,593638.75,259544.8486,490565.0586,641298.1216,355761.0341,696541.3525,392882.3853,428347.9401,398057.4512,770787.4097,449104.1499,548231.6602,380049.6216,489084.3518,481639.5416,478432.4692,374277.1528,384150.5291,228035.5132,124498.3477,423150.4486,218322.9803,330920.3113,715765.5244,488675.1545,265612.5505
12,613118.0215,444516.4873,1178893.232,569161.6904,500235.8457,368289.6987,558306.0571,391411.1272,353805.267,331105.217,315353.6606,506421.0244,822564.5083,645432.375,496429.354,669152.5955,547126.8198,907603.5527,734823.4727,932172.9077,322725.1923,488634.1119,391508.9663,433061.8818,420622.8512,326482.5514,921510.4204,747729.125,823460.1855,525692.9121,502111.2634,295109.5887,323053.1969,649445.2788,1058239.912,360132.2158,1000077.453,710675.7036,357717.2688,479978.0349,298367.8433,333744.853,746515.1992,277268.5078,620482.0188,491037.4487,433746.7753,775992.8149,417023.5999,568813.499,420941.5586,495444.7007,565375.6008,506110.3701,198849.8936,492701.7915,419078.314,543351.4082,347942.4702,772131.0791,425344.9745,385324.499,408987.3551,470544.6436,561392.3339,447757.415,395468.2599,353316.5078,337340.7004,800189.2007,512437.7002,381022.981,525058.948,658606.2,1099073.613,415276.7112,623786.6318,641753.9497,276990.593,528263.5935,682912.46,387593.9532,726935.479,429038.1958,466898.9,428221.1077,849632.0049,473807.8918,588781.3501,412830.7471,535777.2341,513231.2267,514334.8492,406420.4852,409655.4956,245910.022,135199.2104,460400.6624,240365.4893,351403.0898,752414.3672,515712.7634,281608.5631
13,652642.1802,486123.9331,1222657.406,602558.335,528035.3315,396276.9001,587976.6543,423430.4241,388442.6708,356447.9325,336697.3423,536569.9944,867700.999,685725.5986,531190.2144,715854.1787,582723.0483,954232.4336,785895.5688,995718.3701,349567.5975,525163.467,420342.3389,468558.5396,461617.9083,346575.4739,992754.6392,793933.8047,856143.75,551927.6118,536584.6531,319884.9852,351950.6238,691442.6563,1120949.954,395823.7882,1063887.955,746639.1387,394928.1382,511412.064,319794.1772,360664.2398,791092.3862,301889.0071,650081.8743,517268.126,461627.7275,829335.4102,447946.3284,602188.2656,450099.0542,530876.8147,605251.2705,540089.8364,212405.7628,527104.062,442420.0974,572239.0686,371714.3655,827886.3354,461534.6782,410248.9933,439271.6516,514203.4722,605363.4613,476471.6692,424021.1143,382812.4221,363749.6973,841081.1602,549834.4888,410570.4326,569774.0372,700238.2163,1160863.008,458822.344,653732.1904,677819.8096,301774.8137,565274.9104,722065.167,417543.2319,769788.5479,464068.063,500071.0745,461344.3362,896311.2974,509028.5134,632509.373,441690.5144,578300.342,543424.8229,546065.6309,437989.3665,443345.8916,263253.0598,147062.264,490358.3536,266841.3879,379729.9065,783019.7744,551034.8799,298952.6625
14,687463.229,509404.0459,1297143.683,641237.3828,562166.2212,433419.3999,638011.7256,453115.6572,422438.0962,384381.4565,357451.2617,572082.8621,909055.417,724568.0698,562706.7363,753737.5759,617908.9854,1008417.66,826692.1978,1050731.386,378184.4672,559025.2437,443594.5703,501394.1997,494236.2866,368644.0939,1061872.647,837708.4517,900371.9897,577629.0056,578243.5129,343085.3633,368673.7302,740017.1157,1176651.317,428634.8341,1115597.781,787781.333,421846.4817,548003.4336,341946.9194,377636.6343,830310.3008,321690.5486,682730.1489,541901.5801,493336.9695,871100.939,481474.0723,632639.0967,480228.6594,560906.5781,636110.0933,570323.8696,225052.4114,557150.2705,466705.9131,607231.0798,395926.927,867561.6396,492488.9746,437290.0851,471498.3756,542359.5781,643533.5966,512745.8884,454945.3055,404580.4817,390609.7617,877842.8408,585807.0596,435103.3118,603780.6801,743744.4771,1221783.189,477373.6985,681542.7173,713666.2446,327661.8533,591172.2778,755797.6929,449736.908,808449.6055,495313.4067,523553.3665,490972.9358,930296.6685,531743.2568,666437.3916,466703.4778,617768.7808,578727.3745,585544.2511,470729.5996,471469.9053,281769.4387,158525.3246,530096.8103,286653.3608,399686.6873,833924.4497,579339.2324,315205.2427
